SubjectNo,trialNo,List,itemID,eventType,Condition,verbName,ambigV,mbiasV,pbiasV,mbiasAns,pbiasAns,RT biastest,trainV1,trainV2,trainV3,mtestV,mtestAns,ptestV,ptestAns,RT final test,movieLenght,side,Date,Time,Response,LorR_bias_test,LorR_final_test,ambigAudioFuture,ambigAudioPast,trainAudioFuture1,trainAudioPast1,trainAudioFuture2,trainAudioPast2,trainAudioFuture3,trainAudioPast3,whichOne,expStart,trainingStart,trainingEnd,finalTestTIme,finalEndTime,expEndTime,totalTime,biasTestAns,finalTestAns
1,1,List,6,Motion,Condition,pimming,stoopwalk.through.flowers.mov,tiptoe.through.lighthouse.mov,stoopwalk.between.swings.mov,mbiasAns,1,RT biastest,stoopwalk.into.barn.mov,stoopwalk.around.fountain.mov,stoopwalk.up.monkey.mov,stoopwalk.front.fishtank.mov,mtestAns,crawl.through.pyramid.mov,ptestAns,RT final test,7.1,side,10-Oct-2015,11:17:42.942,Response,0,0,pimming_manner_future_flowers.wav,pimming_manner_past_flowers.wav,pimming_manner_future_barn.wav,pimming_manner_past_barn.wav,pimming_manner_future_fountain.wav,pimming_manner_past_fountain.wav,pimming_manner_future_monkey.wav,pimming_manner_past_monkey.wav,which_pimming.wav,1816.0814,1920.3353,1978.5684,1981.9397,1998.1733,2000.8793,184.7979,c,c
1,2,List,7,Motion,Condition,birking,tiptoe.over.cone.mov,tiptoe.front.snowplow.mov,stoopwalk.over.haystack.mov,mbiasAns,0,RT biastest,tiptoe.around.spaceship.mov,tiptoe.into.spaceship2.mov,tiptoe.down.dog.mov,flapwalk.over.plane.mov,mtestAns,tiptoe.between.pigs.mov,ptestAns,RT final test,7.1,side,10-Oct-2015,11:19:48.769,Response,1,0,birking_manner_future_cone.wav,birking_manner_past_cone.wav,birking_manner_future_spaceship.wav,birking_manner_past_spaceship.wav,birking_manner_future_spaceship2.wav,birking_manner_past_spaceship2.wav,birking_manner_future_dog.wav,birking_manner_past_dog.wav,which_birking.wav,1816.0814,2045.2573,2103.9176,2106.8451,2123.4395,2126.8322,310.7508,z,z
1,3,List,4,Motion,Condition,molking,hop.around.penguin.mov,crabwalk.around.firehouse.mov,hop.up.deer.mov,mbiasAns,1,RT biastest,hop.over.book.mov,hop.through.tree.mov,hop.between.snowmen.mov,hop.down.gazebo.mov,mtestAns,walk.around.goat.mov,ptestAns,RT final test,7.1,side,10-Oct-2015,11:21:50.877,Response,0,1,molking_manner_future_penguin.wav,molking_manner_past_penguin.wav,molking_manner_future_book.wav,molking_manner_past_book.wav,molking_manner_future_tree.wav,molking_manner_past_tree.wav,molking_manner_future_snowmen.wav,molking_manner_past_snowmen.wav,which_molking.wav,1816.0814,2168.2339,2226.3137,2229.8054,2246.272,2248.9443,432.8629,c,c
1,4,List,1,Motion,Condition,krading,crabwalk.into.garage.mov,crabwalk.down.birdhouse.mov,hop.into.cabin.mov,mbiasAns,0,RT biastest,crabwalk.through.tunnel.mov,crabwalk.over.tires.mov,crabwalk.front.bell.mov,roll.into.tower.mov,mtestAns,crabwalk.up.policebox.mov,ptestAns,RT final test,7.1,side,10-Oct-2015,11:23:55.248,Response,0,0,krading_manner_future_garage.wav,krading_manner_past_garage.wav,krading_manner_future_tunnel.wav,krading_manner_past_tunnel.wav,krading_manner_future_tires.wav,krading_manner_past_tires.wav,krading_manner_future_bell.wav,krading_manner_past_bell.wav,which_krading.wav,1816.0814,2292.9899,2350.9884,2353.9961,2370.8692,2373.318,557.2366,z,z
1,5,List,2,Motion,Condition,glipping,crawl.down.clown.mov,flapwalk.down.frog.mov,crawl.into.cave.mov,mbiasAns,1,RT biastest,crawl.between.mailboxes.mov,crawl.front.bench.mov,crawl.over.mountain.mov,crawl.around.birdhouse.mov,mtestAns,stoopwalk.down.lamp.mov,ptestAns,RT final test,7.1,side,10-Oct-2015,11:25:59.253,Response,1,1,glipping_manner_future_clown.wav,glipping_manner_past_clown.wav,glipping_manner_future_mailboxes.wav,glipping_manner_past_mailboxes.wav,glipping_manner_future_bench.wav,glipping_manner_past_bench.wav,glipping_manner_future_mountain.wav,glipping_manner_past_mountain.wav,which_glipping.wav,1816.0814,2415.3014,2474.2664,2478.5194,2494.7268,2497.3257,681.2443,c,c
1,6,List,8,Motion,Condition,dacking,walk.front.elephant.mov,roll.front.giraffe.mov,walk.over.sandpile.mov,mbiasAns,1,RT biastest,walk.up.owl.mov,walk.down.cow.mov,walk.into.castle.mov,walk.through.hut.mov,mtestAns,hop.front.bunny.mov,ptestAns,RT final test,7.1,side,10-Oct-2015,11:28:03.107,Response,1,1,dacking_manner_future_elephant.wav,dacking_manner_past_elephant.wav,dacking_manner_future_owl.wav,dacking_manner_past_owl.wav,dacking_manner_future_cow.wav,dacking_manner_past_cow.wav,dacking_manner_future_castle.wav,dacking_manner_past_castle.wav,which_dacking.wav,1816.0814,2539.941,2598.8187,2602.6932,2619.0251,2621.1835,805.1022,c,c
1,7,List,5,Motion,Condition,torging,roll.between.trees.mov,roll.through.tent.mov,walk.between.buildings.mov,mbiasAns,0,RT biastest,roll.down.eagle.mov,roll.up.snowman.mov,roll.around.drum.mov,crabwalk.between.lights.mov,mtestAns,roll.over.bush.mov,ptestAns,RT final test,7.1,side,10-Oct-2015,11:30:04.951,Response,0,1,torging_manner_future_trees.wav,torging_manner_past_trees.wav,torging_manner_future_eagle.wav,torging_manner_past_eagle.wav,torging_manner_future_snowman.wav,torging_manner_past_snowman.wav,torging_manner_future_drum.wav,torging_manner_past_drum.wav,which_torging.wav,1816.0814,2662.7352,2720.8377,2723.9076,2740.5309,2743.0299,926.9485,z,z
1,8,List,3,Motion,Condition,zarking,flapwalk.up.cat.mov,flapwalk.around.horse.mov,crawl.up.swan.mov,mbiasAns,0,RT biastest,flapwalk.front.penguin.mov,flapwalk.between.seesaws.mov,flapwalk.through.waterfall.mov,tiptoe.up.well.mov,mtestAns,flapwalk.into.igloo.mov,ptestAns,RT final test,7.1,side,10-Oct-2015,11:32:10.801,Response,1,0,zarking_manner_future_cat.wav,zarking_manner_past_cat.wav,zarking_manner_future_penguin.wav,zarking_manner_past_penguin.wav,zarking_manner_future_seesaws.wav,zarking_manner_past_seesaws.wav,zarking_manner_future_waterfall.wav,zarking_manner_past_waterfall.wav,which_zarking.wav,1816.0814,2787.8736,2846.5988,2849.8106,2866.0694,2868.8833,1052.8019,z,z
