SubjectNo,trialNo,LeftMovie,Response
45,1,T,space
45,2,T,space
45,3,D,space
45,4,T,space
45,5,T,space
45,6,D,space
45,7,D,space
45,8,D,space
45,9,D,space
45,10,T,space
45,11,D,space
45,12,T,space
45,13,D,space
45,14,T,space
