Sequence,List,5_Baseline,5_Temporal Change Easy,5_Temporal Change Medium,5_Temporal Change Hard 1,5_Temporal Change Hard 2,5_Object Change,5_Manner Change,5_1 different event,TrainingTest,5_MovieLength,4_Baseline,4_Temporal Change Easy,4_Temporal Change Medium,4_Temporal Change Medium 2,4_Temporal Change Hard,4_Object Change,4_Manner Change,4_1 different event,4_MovieLength
1,1,Alix_5A BL,Alix_5A TE,Alix_5A TM,Alix_5A TH1,Alix_5A TH2,Alix_5A O,Alix_5A M,Alix_5A 1,NA,16,Alix_4A BL,Alix_4A TE,Alix_4A TM1,Alix_4A TM2,Alix_4A TH,Alix_4A O,Alix_4A M,Alix_4A 1,13.5
2,1,Annie_5A BL,Annie_5A TE,Annie_5A TM,Annie_5A TH1,Annie_5A TH2,Annie_5A O,Annie_5A M,Annie_5A 1,NA,16,Annie_4A BL,Annie_4A TE,Annie_4A TM1,Annie_4A TM2,Annie_4A TH,Annie_4A O,Annie_4A M,Annie_4A 1,13.5
3,1,David_5A BL,David_5A TE,David_5A TM,David_5A TH1,David_5A TH2,David_5A O,David_5A M,David_5A 1,NA,16,David_4A BL,David_4A TE,David_4A TM1,David_4A TM2,David_4A TH,David_4A O,David_4A M,David_4A 1,13.5
4,1,David_5B BL,David_5B TE,David_5B TM,David_5B TH1,David_5B TH2,David_5B O,David_5B M,David_5B 1,NA,16,David_4B BL,David_4B TE,David_4B TM1,David_4B TM2,David_4B TH,David_4B O,David_4B M,David_4B 1,13.5
5,1,Phoebe_5A BL,Phoebe_5A TE,Phoebe_5A TM,Phoebe_5A TH1,Phoebe_5A TH2,Phoebe_5A O,Phoebe_5A M,Phoebe_5A 1,NA,16,Phoebe_4A BL,Phoebe_4A TE,Phoebe_4A TM1,Phoebe_4A TM2,Phoebe_4A TH,Phoebe_4A O,Phoebe_4A M,Phoebe_4A 1,13.5
6,1,Steph_5A BL,Steph_5A TE,Steph_5A TM,Steph_5A TH1,Steph_5A TH2,Steph_5A O,Steph_5A M,Steph_5A 1,NA,16,Steph_4A BL,Steph_4A TE,Steph_4A TM1,Steph_4A TM2,Steph_4A TH,Steph_4A O,Steph_4A M,Steph_4A 1,13.5
7,1,Tanya_5A BL,Tanya_5A TE,Tanya_5A TM,Tanya_5A TH1,Tanya_5A TH2,Tanya_5A O,Tanya_5A M,Tanya_5A 1,NA,16,Tanya_4A BL,Tanya_4A TE,Tanya_4A TM1,Tanya_4A TM2,Tanya_4A TH,Tanya_4A O,Tanya_4A M,Tanya_4A 1,13.5
8,1,Rachel_5B BL,Rachel_5B TE,Rachel_5B TM,Rachel_5B TH1,Rachel_5B TH2,Rachel_5B O,Rachel_5B M,Rachel_5B 1,NA,16,Rachel_4B BL,Rachel_4B TE,Rachel_4B TM1,Rachel_4B TM2,Rachel_4B TH,Rachel_4B O,Rachel_4B M,Rachel_4B 1,13.5
9,1,Rachel_5H BL,Rachel_5H TE,Rachel_5H TM,Rachel_5H TH1,Rachel_5H TH2,Rachel_5H O,Rachel_5H M,Rachel_5H 1,NA,16,Rachel_4H BL,Rachel_4H TE,Rachel_4H TM1,Rachel_4H TM2,Rachel_4H TH,Rachel_4H O,Rachel_4H M,Rachel_4H 1,13.5
10,1,Rachel_5J BL,Rachel_5J TE,Rachel_5J TM,Rachel_5J TH1,Rachel_5J TH2,Rachel_5J O,Rachel_5J M,Rachel_5J 1,NA,16,Rachel_4J BL,Rachel_4J TE,Rachel_4J TM1,Rachel_4J TM2,Rachel_4J TH,Rachel_4J O,Rachel_4J M,Rachel_4J 1,13.5
11,1,Rachel_5G BL,Rachel_5G TE,Rachel_5G TM,Rachel_5G TH1,Rachel_5G TH2,Rachel_5G O,Rachel_5G M,Rachel_5G 1,NA,16,Rachel_4G BL,Rachel_4G TE,Rachel_4G TM1,Rachel_4G TM2,Rachel_4G TH,Rachel_4G O,Rachel_4G M,Rachel_4G 1,13.5
12,1,Rachel_5I BL,Rachel_5I TE,Rachel_5I TM,Rachel_5I TH1,Rachel_5I TH2,Rachel_5I O,Rachel_5I M,Rachel_5I 1,NA,16,Rachel_4I BL,Rachel_4I TE,Rachel_4I TM1,Rachel_4I TM2,Rachel_4I TH,Rachel_4I O,Rachel_4I M,Rachel_4I 1,13.5
13,2,Alix_5B BL,Alix_5B TE,Alix_5B TM,Alix_5B TH1,Alix_5B TH2,Alix_5B O,Alix_5B M,Alix_5B 1,NA,16,Alix_4B BL,Alix_4B TE,Alix_4B TM1,Alix_4B TM2,Alix_4B TH,Alix_4B O,Alix_4B M,Alix_4B 1,13.5
14,2,Annie_5B BL,Annie_5B TE,Annie_5B TM,Annie_5B TH1,Annie_5B TH2,Annie_5B O,Annie_5B M,Annie_5B 1,NA,16,Annie_4B BL,Annie_4B TE,Annie_4B TM1,Annie_4B TM2,Annie_4B TH,Annie_4B O,Annie_4B M,Annie_4B 1,13.5
15,2,Annie_5C BL,Annie_5C TE,Annie_5C TM,Annie_5C TH1,Annie_5C TH2,Annie_5C O,Annie_5C M,Annie_5C 1,NA,16,Annie_4C BL,Annie_4C TE,Annie_4C TM1,Annie_4C TM2,Annie_4C TH,Annie_4C O,Annie_4C M,Annie_4C 1,13.5
16,2,David_5C BL,David_5C TE,David_5C TM,David_5C TH1,David_5C TH2,David_5C O,David_5C M,David_5C 1,NA,16,David_4C BL,David_4C TE,David_4C TM1,David_4C TM2,David_4C TH,David_4C O,David_4C M,David_4C 1,13.5
17,2,David_5D BL,David_5D TE,David_5D TM,David_5D TH1,David_5D TH2,David_5D O,David_5D M,David_5D 1,NA,16,David_4D BL,David_4D TE,David_4D TM1,David_4D TM2,David_4D TH,David_4D O,David_4D M,David_4D 1,13.5
18,2,Phoebe_5B BL,Phoebe_5B TE,Phoebe_5B TM,Phoebe_5B TH1,Phoebe_5B TH2,Phoebe_5B O,Phoebe_5B M,Phoebe_5B 1,NA,16,Phoebe_4B BL,Phoebe_4B TE,Phoebe_4B TM1,Phoebe_4B TM2,Phoebe_4B TH,Phoebe_4B O,Phoebe_4B M,Phoebe_4B 1,13.5
19,2,Tanya_5B BL,Tanya_5B TE,Tanya_5B TM,Tanya_5B TH1,Tanya_5B TH2,Tanya_5B O,Tanya_5B M,Tanya_5B 1,NA,16,Tanya_4B BL,Tanya_4B TE,Tanya_4B TM1,Tanya_4B TM2,Tanya_4B TH,Tanya_4B O,Tanya_4B M,Tanya_4B 1,13.5
20,2,Rachel_5A BL,Rachel_5A TE,Rachel_5A TM,Rachel_5A TH1,Rachel_5A TH2,Rachel_5A O,Rachel_5A M,Rachel_5A 1,NA,16,Rachel_4A BL,Rachel_4A TE,Rachel_4A TM1,Rachel_4A TM2,Rachel_4A TH,Rachel_4A O,Rachel_4A M,Rachel_4A 1,13.5
21,2,Rachel_5C BL,Rachel_5C TE,Rachel_5C TM,Rachel_5C TH1,Rachel_5C TH2,Rachel_5C O,Rachel_5C M,Rachel_5C 1,NA,16,Rachel_4C BL,Rachel_4C TE,Rachel_4C TM1,Rachel_4C TM2,Rachel_4C TH,Rachel_4C O,Rachel_4C M,Rachel_4C 1,13.5
22,2,Rachel_5D BL,Rachel_5D TE,Rachel_5D TM,Rachel_5D TH1,Rachel_5D TH2,Rachel_5D O,Rachel_5D M,Rachel_5D 1,NA,16,Rachel_4D BL,Rachel_4D TE,Rachel_4D TM1,Rachel_4D TM2,Rachel_4D TH,Rachel_4D O,Rachel_4D M,Rachel_4D 1,13.5
23,2,Rachel_5E BL,Rachel_5E TE,Rachel_5E TM,Rachel_5E TH1,Rachel_5E TH2,Rachel_5E O,Rachel_5E M,Rachel_5E 1,NA,16,Rachel_4E BL,Rachel_4E TE,Rachel_4E TM1,Rachel_4E TM2,Rachel_4E TH,Rachel_4E O,Rachel_4E M,Rachel_4E 1,13.5
24,2,Rachel_5F BL,Rachel_5F TE,Rachel_5F TM,Rachel_5F TH1,Rachel_5F TH2,Rachel_5F O,Rachel_5F M,Rachel_5F 1,NA,16,Rachel_4F BL,Rachel_4F TE,Rachel_4F TM1,Rachel_4F TM2,Rachel_4F TH,Rachel_4F O,Rachel_4F M,Rachel_4F 1,13.5
25,0,1_Train_BL,Train_Same,NA,NA,NA,NA,NA,NA,1_Train_NoChange,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,0,2_Train_BL,Train_Diff,NA,NA,NA,NA,NA,NA,2_Train_Change,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
