SubjectNo,Date,Time,Experiment,trialNo,itemID,verbName,verbMeaning,mannerSideBias,pathSideBias,kidResponseBias,mannerSideTest,pathSideTest,kidResponseTest,noun1Test,noun2Test,totalTime,xxxxxxxxx,expStartTime,trainingStartTime,trainingEndTime,finalTestStart,finalTestEnd,ambigVid,mBiasVid,pBiasVid,trainVid1,trainVid2,trainVid3,mTestVid,pTestVid,ambigAudioFuture,ambigAudioPast,trainAudioFuture1,trainAudioPast1,trainAudioFuture2,trainAudioPast2,trainAudioFuture3,trainAudioPast3,whichOneAudio,letsFindAudio
24,15-Dec-2015,10:09:58.658,PathCondition,1,3.6,pimming,through,R,L,z,L,R,c,c,z,207.1289,xxxx,36426.6984,36555.0462,36607.6386,36609.8171,36626.0567,stoopwalk.through.flowers.5.mov,stoopwalk.between.swings.5.mov,tiptoe.through.lighthouse.5.mov,crabwalk.through.tunnel.5.mov,hop.through.tree.5.mov,flapwalk.through.waterfall.5.mov,stoopwalk.front.fishtank.5.mov,crawl.through.pyramid.5.mov,pimming_path_future_flowers.wav,pimming_path_past_flowers.wav,pimming_path_future_tunnel.wav,pimming_path_past_tunnel.wav,pimming_path_future_trees.wav,pimming_path_past_trees.wav,pimming_path_future_waterfall.wav,pimming_path_past_waterfall.wav,which_pimming.wav,letsfindpimming.wav
24,15-Dec-2015,10:11:49.415,PathCondition,2,3.2,glipping,down,R,L,z,R,L,z,c,z,317.8849,xxxx,36426.6984,36668.811,36719.9384,36723.1167,36738.9229,crawl.down.clown.5.mov,crawl.into.cave.5.mov,flapwalk.down.frog.5.mov,roll.down.eagle.5.mov,walk.down.cow.5.mov,tiptoe.down.dog.5.mov,crawl.up.bus.mov,stoopwalk.down.lamp.5.mov,glipping_path_future_clown.wav,glipping_path_past_clown.wav,glipping_path_future_eagle.wav,glipping_path_past_eagle.wav,glipping_path_future_cow.wav,glipping_path_past_cow.wav,glipping_path_future_dog.wav,glipping_path_past_dog.wav,which_glipping.wav,letsfindglipping.wav
24,15-Dec-2015,10:13:55.850,PathCondition,3,3.1,krading,into,L,R,c,R,L,z,c,z,444.3201,xxxx,36426.6984,36784.2062,36836.5522,36842.2193,36860.399,crabwalk.into.garage.5.mov,crabwalk.down.birdhouse.5.mov,hop.into.cabin.5.mov,stoopwalk.into.barn.5.mov,tiptoe.into.spaceship.5.mov,walk.into.castle.5.mov,crabwalk.up.cat.5.mov,roll.into.tower.5.mov,krading_path_future_garage.wav,krading_path_past_garage.wav,krading_path_future_barn.wav,krading_path_past_barn.wav,krading_path_future_spaceship.wav,krading_path_past_spaceship.wav,krading_path_future_castle.wav,krading_path_past_castle.wav,which_krading.wav,letsfindkrading.wav
24,15-Dec-2015,10:15:50.181,PathCondition,4,3.3,zarking,up,R,L,z,R,L,z,c,z,558.6507,xxxx,36426.6984,36907.4985,36959.7696,36962.5688,36979.1276,flapwalk.up.cat.5.mov,flapwalk.around.horse.5.mov,crawl.up.swan.5.mov,walk.up.owl.5.mov,roll.up.snowman.5.mov,stoopwalk.up.monkey.5.mov,flapwalk.into.igloo.5.mov,tiptoe.up.well.5.mov,zarking_path_future_cat.wav,zarking_path_past_cat.wav,zarking_path_future_owl.wav,zarking_path_past_owl.wav,zarking_path_future_snowman.wav,zarking_path_past_snowman.wav,zarking_path_future_monkey.wav,zarking_path_past_monkey.wav,which_zarking.wav,letsfindzarking.wav
24,15-Dec-2015,10:18:04.365,PathCondition,5,3.8,dacking,front,L,R,z,R,L,z,c,z,692.8344,xxxx,36426.6984,37033.0195,37087.2155,37090.667,37106.3376,walk.front.elephant.5.mov,walk.over.sandpile.5.mov,roll.front.giraffe.5.mov,flapwalk.front.penguin.5.mov,crawl.front.bench.5.mov,crabwalk.front.bell.5.mov,walk.through.hut.5.mov,hop.front.bunny.5.mov,dacking_path_future_elephant.wav,dacking_path_past_elephant.wav,dacking_path_future_penguin.wav,dacking_path_past_penguin.wav,dacking_path_future_bench.wav,dacking_path_past_bench.wav,dacking_path_future_bell.wav,dacking_path_past_bell.wav,which_dacking.wav,letsfinddacking.wav
24,15-Dec-2015,10:20:03.967,PathCondition,6,3.7,birking,over,R,L,z,R,L,z,c,z,812.4358,xxxx,36426.6984,37154.7656,37207.0149,37210.1849,37226.2772,tiptoe.over.cone.5.mov,tiptoe.front.snowplow.5.mov,stoopwalk.over.haystack.5.mov,hop.over.book.5.mov,crabwalk.over.tires.5.mov,crawl.over.mountain.5.mov,tiptoe.between.pigs.5.mov,flapwalk.over.plane.5.mov,birking_path_future_cone.wav,birking_path_past_cone.wav,birking_path_future_book.wav,birking_path_past_book.wav,birking_path_future_tires.wav,birking_path_past_tires.wav,birking_path_future_mountain.wav,birking_path_past_mountain.wav,which_birking.wav,letsfindbirking.wav
24,15-Dec-2015,10:21:59.744,PathCondition,7,3.4,molking,around,L,R,c,R,L,z,c,z,928.2128,xxxx,36426.6984,37273.7687,37323.6125,37326.7439,37342.7182,hop.around.penguin.5.mov,hop.up.deer.5.mov,crawl.around.birdhouse.5.mov,tiptoe.around.spaceship.5.mov,stoopwalk.around.fountain.5.mov,roll.around.drum.5.mov,hop.down.gazebo.5.mov,walk.around.goat.5.mov,molking_path_future_penguin.wav,molking_path_past_penguin.wav,molking_path_future_spaceship.wav,molking_path_past_spaceship.wav,molking_path_future_fountain.wav,molking_path_past_fountain.wav,molking_path_future_drum.wav,molking_path_past_drum.wav,which_molking.wav,letsfindmolking.wav
24,15-Dec-2015,10:24:11.833,PathCondition,8,3.5,torging,between,L,R,c,L,R,c,c,z,1060.3015,xxxx,36426.6984,37390.7096,37444.1303,37447.4762,37464.0742,roll.between.trees.5.mov,roll.through.tent.5.mov,walk.between.buildings.5.mov,crawl.between.mailboxes.5.mov,flapwalk.between.seesaws.5.mov,hop.between.snowmen.5.mov,roll.over.bush.5.mov,crabwalk.between.lights.5.mov,torging_path_future_trees.wav,torging_path_past_trees.wav,torging_path_future_mailboxes.wav,torging_path_past_mailboxes.wav,torging_path_future_seesaws.wav,torging_path_past_seesaws.wav,torging_path_future_snowmen.wav,torging_path_past_snowmen.wav,which_torging.wav,letsfindtorging.wav
