SubjectNo,Date,Time,Experiment,trialNo,itemID,verbName,verbMeaning,mannerSideBias,pathSideBias,kidResponseBias,mannerSideTest,pathSideTest,kidResponseTest,noun1Test,noun2Test,xxxxxxxxx,tranStartTime,trainEndTime,finalTestStart,finalTestEnd,ambigVid,mBiasVid,pBiasVid,trainVid1,trainVid2,trainVid3,mTestVid,pTestVid,ambigAudioFuture,ambigAudioPast,trainAudioFuture1,trainAudioPast1,trainAudioFuture2,trainAudioPast2,trainAudioFuture3,trainAudioPast3,whichOneAudio,letsFindAudio,xxxxxxxxx,extTestAnswer,mannerSideExtension,pathSideExtension,extPathEffect,extMannerMeans,extBiasVid,extAmbigAudioFuture,extAmbigAudioPast,extTestMannerVid,extTestPathVid,extLetsFind,extWhichOne
99,27-Jan-2016,17:28:33.157,NA,1,8.5,torging,between,L,R,z,R,L,z,space,space,xxxx,24941.5683,25086.0585,25296.5001,25314.2869,roll.between.trees.5.mov,roll.through.tent.5.mov,walk.between.buildings.5.mov,crawl.between.mailboxes.5.mov,flapwalk.between.seesaws.5.mov,hop.between.snowmen.5.mov,roll.over.bush.5.mov,crabwalk.between.lights.5.mov,torging_path_future_trees.wav,torging_path_past_trees.wav,torging_path_future_mailboxes.wav,torging_path_past_mailboxes.wav,torging_path_future_seesaws.wav,torging_path_past_seesaws.wav,torging_path_future_snowmen.wav,torging_path_past_snowmen.wav,which_torging.wav,letsfindtorging.wav,xxxx,space,L,R,cut,knife,knife.cut.bread.5s.mov,gorping_manner_future_bread.wav,gorping_manner_past_bread.wav,knife.bend.fork.5s.mov,poker.cut.curtain.5s.mov,letsfindgorping.wav,which_gorping.wav
99,27-Jan-2016,17:28:33.249,NA,2,8.1,krading,into,L,R,z,L,R,z,space,space,xxxx,24941.5683,25086.0585,25296.5001,25314.2869,crabwalk.into.garage.5.mov,crabwalk.down.birdhouse.5.mov,hop.into.cabin.5.mov,stoopwalk.into.barn.5.mov,tiptoe.into.spaceship.5.mov,walk.into.castle.5.mov,crabwalk.up.cat.5.mov,roll.into.tower.5.mov,krading_path_future_garage.wav,krading_path_past_garage.wav,krading_path_future_barn.wav,krading_path_past_barn.wav,krading_path_future_spaceship.wav,krading_path_past_spaceship.wav,krading_path_future_castle.wav,krading_path_past_castle.wav,which_krading.wav,letsfindkrading.wav,xxxx,z,R,L,break,bat,bat.break.record.5s.mov,blicking_manner_future_record.wav,blicking_manner_past_record.wav,bat.flatten.cupcake.5s.mov,comb.break.cookies.5s.mov,letsfindblicking.wav,which_blicking.wav
99,27-Jan-2016,17:28:33.259,NA,3,8.4,molking,around,R,L,z,L,R,z,space,space,xxxx,24941.5683,25086.0585,25296.5001,25314.2869,hop.around.penguin.5.mov,hop.up.deer.5.mov,crawl.around.birdhouse.5.mov,tiptoe.around.spaceship.5.mov,stoopwalk.around.fountain.5.mov,roll.around.drum.5.mov,hop.down.gazebo.5.mov,walk.around.goat.5.mov,molking_path_future_penguin.wav,molking_path_past_penguin.wav,molking_path_future_spaceship.wav,molking_path_past_spaceship.wav,molking_path_future_fountain.wav,molking_path_past_fountain.wav,molking_path_future_drum.wav,molking_path_past_drum.wav,which_molking.wav,letsfindmolking.wav,xxxx,z,R,L,crush,hammer,hammer.crush.strawberries.5s.mov,nibbing_manner_future_strawberries.wav,nibbing_manner_past_strawberries.wav,hammer.empty.brushcontainer.5s.mov,pliers.crush.candycanes.5s.mov,letsfindnibbing.wav,which_nibbing.wav
99,27-Jan-2016,17:28:33.270,NA,4,8.6,pimming,through,R,L,z,L,R,space,space,space,xxxx,24941.5683,25086.0585,25296.5001,25314.2869,stoopwalk.through.flowers.5.mov,stoopwalk.between.swings.5.mov,tiptoe.through.lighthouse.5.mov,crabwalk.through.tunnel.5.mov,hop.through.tree.5.mov,flapwalk.through.waterfall.5.mov,stoopwalk.front.fishtank.5.mov,crawl.through.pyramid.5.mov,pimming_path_future_flowers.wav,pimming_path_past_flowers.wav,pimming_path_future_tunnel.wav,pimming_path_past_tunnel.wav,pimming_path_future_trees.wav,pimming_path_past_trees.wav,pimming_path_future_waterfall.wav,pimming_path_past_waterfall.wav,which_pimming.wav,letsfindpimming.wav,xxxx,z,L,R,bend,pliers,pliers.bend.candle.5s.mov,klebbing_manner_future_candle.wav,klebbing_manner_past_candle.wav,pliers.cut.pizza.5s.mov,hammer.bend.sunflower.5s.mov,letsfindklebbing.wav,which_klebbing.wav
99,27-Jan-2016,17:28:33.280,NA,5,8.8,dacking,front,R,L,space,L,R,space,space,space,xxxx,24941.5683,25086.0585,25296.5001,25314.2869,walk.front.elephant.5.mov,walk.over.sandpile.5.mov,roll.front.giraffe.5.mov,flapwalk.front.penguin.5.mov,crawl.front.bench.5.mov,crabwalk.front.bell.5.mov,walk.through.hut.5.mov,hop.front.bunny.5.mov,dacking_path_future_elephant.wav,dacking_path_past_elephant.wav,dacking_path_future_penguin.wav,dacking_path_past_penguin.wav,dacking_path_future_bench.wav,dacking_path_past_bench.wav,dacking_path_future_bell.wav,dacking_path_past_bell.wav,which_dacking.wav,letsfinddacking.wav,xxxx,z,R,L,flatten,trowel,trowel.flatten.sand.5s.mov,rolting_manner_future_sand.wav,rolting_manner_past_sand.wav,trowel.break.flowerpot.5s.mov,crowbar.flatten.donut.5s.mov,letsfindrolting.wav,which_rolting.wav
99,27-Jan-2016,17:28:33.290,NA,6,8.2,glipping,down,L,R,space,L,R,space,space,space,xxxx,24941.5683,25086.0585,25296.5001,25314.2869,crawl.down.clown.5.mov,crawl.into.cave.5.mov,flapwalk.down.frog.5.mov,roll.down.eagle.5.mov,walk.down.cow.5.mov,tiptoe.down.dog.5.mov,crawl.up.bus.mov,stoopwalk.down.lamp.5.mov,glipping_path_future_clown.wav,glipping_path_past_clown.wav,glipping_path_future_eagle.wav,glipping_path_past_eagle.wav,glipping_path_future_cow.wav,glipping_path_past_cow.wav,glipping_path_future_dog.wav,glipping_path_past_dog.wav,which_glipping.wav,letsfindglipping.wav,xxxx,z,R,L,rip,comb,comb.rip.armchair.5s.mov,gossing_manner_future_armchair.wav,gossing_manner_past_armchair.wav,comb.open.book.5s.mov,bat.rip.kite.5s.mov,letsfindgossing.wav,which_gossing.wav
99,27-Jan-2016,17:28:33.300,NA,7,8.3,zarking,up,L,R,z,R,L,space,space,space,xxxx,24941.5683,25086.0585,25296.5001,25314.2869,flapwalk.up.cat.5.mov,flapwalk.around.horse.5.mov,crawl.up.swan.5.mov,walk.up.owl.5.mov,roll.up.snowman.5.mov,stoopwalk.up.monkey.5.mov,flapwalk.into.igloo.5.mov,tiptoe.up.well.5.mov,zarking_path_future_cat.wav,zarking_path_past_cat.wav,zarking_path_future_owl.wav,zarking_path_past_owl.wav,zarking_path_future_snowman.wav,zarking_path_past_snowman.wav,zarking_path_future_monkey.wav,zarking_path_past_monkey.wav,which_zarking.wav,letsfindzarking.wav,xxxx,z,R,L,open,crowbar,crowbar.open.grill.5s.mov,zicking_manner_future_grill.wav,zicking_manner_past_grill.wav,crowbar.rip.pillow.5s.mov,trowel.open.door.5s.mov,letsfindzicking.wav,which_zicking.wav
99,27-Jan-2016,17:28:33.311,NA,8,8.7,birking,over,L,R,space,R,L,z,space,space,xxxx,24941.5683,25086.0585,25296.5001,25314.2869,tiptoe.over.cone.5.mov,tiptoe.front.snowplow.5.mov,stoopwalk.over.haystack.5.mov,hop.over.book.5.mov,crabwalk.over.tires.5.mov,crawl.over.mountain.5.mov,tiptoe.between.pigs.5.mov,flapwalk.over.plane.5.mov,birking_path_future_cone.wav,birking_path_past_cone.wav,birking_path_future_book.wav,birking_path_past_book.wav,birking_path_future_tires.wav,birking_path_past_tires.wav,birking_path_future_mountain.wav,birking_path_past_mountain.wav,which_birking.wav,letsfindbirking.wav,xxxx,z,R,L,empty,poker,poker.empty.trash.5s.mov,wugging_manner_future_trash.wav,wugging_manner_past_trash.wav,poker.crush.car.5s.mov,knife.empty.goblet.5s.mov,letsfindwugging.wav,which_wugging.wav
