itemID,eventType,Condition,Manner,Path,verbName,verbMeaning,ambigS,ambigV,mbiasV,mbiasAns,pbias,pbiasAns,trainS1,trainV1,trainS2,trainV2,trainS3,trainV3,mTest,mTestAns,pTest,pTestAns,movieLenght
1,Motion,Manner,crabwalk,into,krading,crabwalk,The monster is krading into the garage.,crabwalk.into.garage,crabwalk.down.birdhouse,1,hop.into.cabin,0,The monster is krading through the tunnel. ,crabwalk.through.tunnel,The monster is krading over the tires. ,crabwalk.over.tires,The monster is krading in front of bell.,crabwalk.front.bell,roll.into.tower,0,crabwalk.up.policebox,1,7.1
2,Motion,Manner,crawl,down,glipping,crawl,The monster is glipping down to the clown.,crawl.down.clown,flapwalk.down.frog,0,crawl.into.cave,1,The monster is glipping between the mailboxes. ,crawl.between.mailboxes,The monster is glipping in front of the bench. ,crawl.front.bench,The monster is glipping over the mountain.,crawl.over.mountain,crawl.around.birdhouse,1,stoopwalk.down.lamp,0,7.1
3,Motion,Manner,flapwalk,up,zarking,flapwalk,The monster is zarking up to the cat.,flapwalk.up.cat,flapwalk.around.horse,1,crawl.up.swan,0,The monster is zarking in front of the penguin. ,flapwalk.front.penguin,The monster is zarking between the seesaws. ,flapwalk.between.seesaws,The monster is zarking through the waterfall.,flapwalk.through.waterfall,tiptoe.up.well,0,flapwalk.into.igloo,1,7.1
4,Motion,Manner,hop,around,molking,hop,The monster is molking around the penguin.,hop.around.penguin,crabwalk.around.firehouse,0,hop.up.deer,1,The monster is molking over the book. ,hop.over.book,The monster is molking through the tree. ,hop.through.tree,The monster is molking between the snowmen.,hop.between.snowmen,hop.down.gazeebo,1,walk.around.goat,0,7.1
5,Motion,Manner,roll,between,torging,roll,The monster is torging between the trees. ,roll.between.trees,roll.through.tent,1,walk.between.buildings,0,The monster is torging down to the eagle. ,roll.down.eagle,The monster is torging up to the snowman. ,roll.up.snowman,The monster is torging around the drum.,roll.around.drum,crabwalk.between.lights,0,roll.over.shrub,1,7.1
6,Motion,Manner,stoopwalk,through,pimming,stoopwalk,The monster is pimming through the flowers.,stoopwalk.through.flowers,tiptoe.through.lighthouse,0,stoopwalk.between.swings,1,The monster is pimming into the barn. ,stoopwalk.into.barn,The monster is pimming around the fountain. ,stoopwalk.around.fountain,The monster is pimming up to the monkey.,stoopwalk.up.monkey,stoopwalk.front.fishtank,1,crawl.through.pyramid,0,7.1
7,Motion,Manner,tiptoe,over,birking,tiptoe,The monster is birking over the cone.,tiptoe.over.cone,tiptoe.front.snowplow,1,stoopwalk.over.haystack,0,The monster is birking around the spaceship. ,tiptoe.around.spaceship,The monster is birking into the spaceship. ,tiptoe.into.spaceship,The monster is birking down to the dog.,tiptoe.down.dog,flapwalk.over.plane,0,tiptoe.between.pigs,1,7.1
8,Motion,Manner,walk,front,dacking,walk,The monster is dacking in front of the elephant. ,walk.front.elephant,roll.front.giraffe,0,walk.over.sandpile,1,The monster is dacking up to the owl. ,walk.up.owl,The monster is dacking down to the cow. ,walk.down.cow,The monster is dacking into the castle.,walk.into.castle,walk.through.hut,1,hop.front.bunny,0,7.1
