itemID,eventType,Condition,Manner,Path,verbName,verbMeaning,ambigS,ambigV,mbiasV,mbiasAns,pbias,pbiasAns,trainS1,trainV1,trainS2,trainV2,trainS3,trainV3,mTest,mTestAns,pTest,pTestAns,movieLenght
1,Motion,Path,drive,into,zarking,into,The man is zarking into the garage.,drive.into.house,drive.over.cone,1,fly.into.spaceship,0,The girl is zarking into the barn.,skate.into.barn,The boy is zarking into the cave.,sail.into.cave,The girl is zarking into the tree.,balloon.into.tree,bike.into.truck,1,drive.around.firehouse,0,7
2,Motion,Path,carpet,down,glipping,down,The boy is glipping down to the lamp.,carpet.down.lamp,skate.down.seesaw,0,carpet.btw.throne,1,The man is glipping down to the clown.,bike.down.clown,The man is glipping down to the bear.,sled.down.bear,The man is glipping down to the cow.,fly.down.cow,carpet.into.tower,0,ski.down.owl,1,7
3,Motion,Path,sail ,up,dacking,up,The boy is dacking up to the swan.,sail.up.swan,sail.down.seal,1,carpet.up.monkey,0,The man is dacking up to the palm tree.,camel.up.palmtree,The girl is dacking up to the dog.,skate.up.dog,The man is dacking up to the gingerbread house.,sled.up.ginger,fly.up.bus,1,sail.over.float,0,7
4,Motion,Path,sled,around,birking,around,The man is birking around the penguin.,sled.around.penguin,bike.around.birdhouse,0,sled.behind.polarbear,1,The man is birking around the deer.,ski.around.deer,The man is birking around the fountain.,fly.around.fountain,The girl is birking around the city.,balloon.around.city,sled.under.butterflies,0,skate.around.horse,1,7
5,Motion,Path,ski,between,pimming,between,The man is pimming between the trees.,ski.btw.trees,ski.into.igloo,1,camel.between.trees,0,The man is pimming between the snowmen.,sled.btw.snowmen,The man is pimming between the mailboxes.,bike.between.mailboxes,The man is pimming between the lampposts.,drive.between.lights,sail.between.mountains,1,ski.up.snowman,0,7
6,Motion,Path,fly,through,torging,through,The man is torging through the clouds.,fly.through.clouds,drive.through.tunnel,0,fly.under.birds,1,The boy is torging through the garden.,carpet.through.garden,The boy is torging through the waterfall.,sail.through.waterfall,The man is torging through the gate. ,ski.through.gate,fly.behind.kite,0,sled.through.tree,1,7
7,Motion,Path,balloon,over,molking,over,The girl is molking over the eagle. ,balloon.over.eagle,balloon.up.train,1,ski.over.bush,0,The girl is molking over the book.,skate.over.book,The man is molking over the rollercoaster.,fly.over.rollercoaster,The man is molking over the sand dune.,camel.over.sanddune,carpet.over.tiger,1,balloon.down.dog,0,7
8,Motion,Path,camel,front,gossing,front,The man is gossing in front of the pyramid.,camel.front.pyramid,sled.front.bunny,0,camel.around.goat,1,The man is gossing in front of the deer.,ski.front.deer,The girl is gossing in front of the sunflowers.,balloon.front.sunflowers,The boy is gossing in front of the penguin.,sail.front.penguin,camel.through.oasis,0,drive.front.horse,1,7
