itemID,eventType,Condition,Manner,Path,verbName,verbMeaning,ambigS,ambigV,mbiasV,mbiasAns,pbias,pbiasAns,trainS1,trainV1,trainS2,trainV2,trainS3,trainV3,mTest,mTestAns,pTest,pTestAns,movieLenght
1,Motion,Path,crabwalk,into,krading,into,The monster is krading the garage.,crabwalk.into.garage,crabwalk.down.birdhouse,1,hop.into.cabin,0,The monster is krading the barn. ,stoopwalk.into.barn,The monster is krading the spaceship. ,tiptoe.into.spaceship,The monster is krading the castle.,walk.into.castle,roll.into.tower,1,crabwalk.up.cat,0,7.1
2,Motion,Path,crawl,down,glipping,down,The monster is glipping the clown.,crawl.down.clown,flapwalk.down.frog,0,crawl.into.cave,1,The monster is glipping the eagle. ,roll.down.eagle,The monster is glipping the cow. ,walk.down.cow,The monster is glipping the dog.,tiptoe.down.dog,crawl.around.birdhouse,0,stoopwalk.down.lamp,1,7.1
3,Motion,Path,flapwalk,up,zarking,up,The monster is zarking the cat.,flapwalk.up.cat,flapwalk.around.horse,1,crawl.up.swan,0,The monster is zarking the owl. ,walk.up.owl,The monster is zarking the snowman. ,roll.up.snowman,The monster is zarking the monkey.,stoopwalk.up.monkey,tiptoe.up.well,1,flapwalk.into.igloo,0,7.1
4,Motion,Path,hop,around,molking,around,The monster is molking the penguin.,hop.around.penguin,crabwalk.around.firehouse,0,hop.up.deer,1,The monster is molking the spaceship. ,tiptoe.around.spaceship,The monster is molking the fountain. ,stoopwalk.around.fountain,The monster is molking the drum.,roll.around.drum,hop.down.gazeebo,0,walk.around.goat,1,7.1
5,Motion,Path,roll,between,torging,between,The monster is torging the trees. ,roll.between.trees,roll.through.tent,1,walk.between.buildings,0,The monster is torging the mailboxes. ,crawl.between.mailboxes,The monster is torging the seesaws. ,flapwalk.between.seesaws,The monster is torging the snowmen.,hop.between.snowmen,crabwalk.between.lights,1,roll.over.shrub,0,7.1
6,Motion,Path,stoopwalk,through,pimming,through,The monster is pimming the flowers.,stoopwalk.through.flowers,tiptoe.through.lighthouse,0,stoopwalk.between.swings,1,The monster is pimming the tunnel. ,crabwalk.through.tunnel,The monster is pimming the tree. ,hop.through.tree,The monster is pimming the waterfall.,flapwalk.through.waterfall,stoopwalk.front.fishtank,0,crawl.through.pyramid,1,7.1
7,Motion,Path,tiptoe,over,birking,over,The monster is birking the cone.,tiptoe.over.cone,tiptoe.front.snowplow,1,stoopwalk.over.haystack,0,The monster is birking the book. ,hop.over.book,The monster is birking the tires. ,crabwalk.over.tires,The monster is birking the mountain.,crawl.over.mountain,flapwalk.over.plane,1,tiptoe.between.pigs,0,7.1
8,Motion,Path,walk,front,dacking,front,The monster is dacking the elephant. ,walk.front.elephant,roll.front.giraffe,0,walk.over.sandpile,1,The monster is dacking the penguin. ,flapwalk.front.penguin,The monster is dacking the bench. ,crawl.front.bench,The monster is dacking the bell.,crabwalk.front.bell,walk.through.hut,0,hop.front.bunny,1,7.1
