itemID,eventType,Condition,Manner,Path,verbName,verbMeaning,ambigS,ambigV,mbiasV,mbiasAns,pbias,pbiasAns,trainS1,trainV1,trainS2,trainV2,trainS3,trainV3,mTest,mTestAns,pTest,pTestAns,movieLenght
1,Motion,Manner,drive,into,zarking,drive,The man is zarking into the garage.,drive.into.house,drive.over.cone,1,fly.into.spaceship,0,The man is zarking under the train.,drive.under.train,The man is zarking up to the cat.,drive.up.cat,The man is zarking behind the windmill.,drive.behind.windmill,bike.into.truck,0,drive.around.firehouse,1,7
2,Motion,Manner,carpet,down,glipping,carpet,The boy is glipping down to the lamp.,carpet.down.lamp,skate.down.seesaw,0,carpet.btw.throne,1,The boy is glipping in front of the clock.,carpet.front.clock,The boy is glipping under the table.,carpet.under.table,The boy is glipping around the drum.,carpet.around.drum,carpet.into.tower,1,ski.down.owl,0,7
3,Motion,Manner,sail ,up,dacking,sail ,The boy is dacking up to the swan.,sail.up.swan,sail.down.seal,1,carpet.up.monkey,0,The boy is dacking in front of the penguin.,sail.front.penguin,The boy is dacking around the seagull.,sail.around.seagull,The boy is dacking through the waterfall.,sail.through.waterfall,fly.up.bus,0,sail.over.float,1,7
4,Motion,Manner,sled,around,birking,sled,The man is birking around the penguin.,sled.around.penguin,bike.around.birdhouse,0,sled.behind.polarbear,1,The man is birking into the cabin.,sled.into.cabin,The man is birking up to the gingerbread house.,sled.up.ginger,The man is birking down to the bear.,sled.down.bear,sled.under.butterflies,1,skate.around.horse,0,7
5,Motion,Manner,ski,between,pimming,ski,The man is pimming between the trees.,ski.btw.trees,ski.into.igloo,1,camel.between.trees,0,The man is pimming around the deer.,ski.around.deer,The man is pimming through the gate. ,ski.through.gate,The man is pimming under the rainbow.,ski.under.rainbow,sail.between.mountains,0,ski.up.snowman,1,7
6,Motion,Manner,fly,through,torging,fly,The man is torging through the clouds.,fly.through.clouds,drive.through.tunnel,0,fly.under.birds,1,The man is torging down to the cow.,fly.down.cow,The man is torging between the skyscrapers.,fly.btw.skyscrapers,The man is torging over the rollercoaster.,fly.over.rollercoaster,fly.behind.kite,1,sled.through.tree,0,7
7,Motion,Manner,balloon,over,molking,balloon,The girl is molking over the eagle. ,balloon.over.eagle,balloon.up.train,1,ski.over.bush,0,The girl is molking between the hills.,balloon.between.hills,The girl is molking through the flowers.,balloon.through.flowers,The girl is molking in front of the sunflowers.,balloon.front.sunflowers,carpet.over.tiger,0,balloon.down.dog,1,7
8,Motion,Manner,camel,front,gossing,camel,The man is gossing in front of the pyramid.,camel.front.pyramid,sled.front.bunny,0,camel.around.goat,1,The man is gossing up to the palmtree.,camel.up.palmtree,The man is gossing behind the cactus.,camel.behind.cactus,The man is gossing into the castle.,camel.into.castle,camel.through.oasis,1,drive.front.horse,0,7
