SubjectNo,Date,Time,VerbDomain,Condition,trialNo,itemID,verbName,verbMeaning,mannerSideBias,pathSideBias,kidResponseBias,mannerSideTest,pathSideTest,kidResponseTest,noun1Test,noun2Test,totalTime,xxxxxxxxx,expStartTime,trainingStartTime,trainingEndTime,finalTestStart,finalTestEnd,ambigVid,mBiasVid,pBiasVid,trainVid1,trainVid2,trainVid3,mTestVid,pTestVid,ambigAudioFuture,ambigAudioPast,trainAudioFuture1,trainAudioPast1,trainAudioFuture2,trainAudioPast2,trainAudioFuture3,trainAudioPast3,whichOneAudio,letsFindAudio
81,06-Apr-2016,13:10:39.549,CoS,Effect,1,5.2,gossing,rip,R,L,c,R,L,z,c,z,204.8962,xxxx,591.5217,716.5239,768.5751,771.7553,789.0994,comb.rip.armchair.5s.mov,comb.open.book.5s.mov,bat.rip.kite.5s.mov,poker.rip.pants.5s.mov,knife.rip.newspaper.5s.mov,pliers.rip.tablecloth.5s.mov,comb.flatten.burger.5s.mov,hammer.rip.shirt.5s.mov,gossing_path_future_armchair.wav,gossing_path_past_armchair.wav,gossing_path_future_pants.wav,gossing_path_past_pants.wav,gossing_path_future_newspaper.wav,gossing_path_past_newspaper.wav,gossing_path_future_tablecloth.wav,gossing_path_past_tablecloth.wav,which_gossing.wav,letsfindgossing.wav
81,06-Apr-2016,13:12:32.652,CoS,Effect,2,5.4,nibbing,crush,L,R,c,L,R,z,c,z,318.1754,xxxx,591.5217,832.8545,883.9981,886.8668,903.6064,hammer.crush.strawberries.5s.mov,hammer.empty.brushcontainer.5s.mov,pliers.crush.candycanes.5s.mov,crowbar.crush.soap.5s.mov,trowel.crush.bottle.5s.mov,bat.crush.nuts.5s.mov,hammer.cut.watermelon.5s.mov,comb.crush.juicebox.5s.mov,nibbing_path_future_strawberries.wav,nibbing_path_past_strawberries.wav,nibbing_path_future_soap.wav,nibbing_path_past_soap.wav,nibbing_path_future_bottle.wav,nibbing_path_past_bottle.wav,nibbing_path_future_nuts.wav,nibbing_path_past_nuts.wav,which_nibbing.wav,letsfindnibbing.wav
81,06-Apr-2016,13:14:24.752,CoS,Effect,3,5.3,zicking,open,R,L,c,R,L,z,c,z,430.2699,xxxx,591.5217,945.449,996.5579,999.4292,1015.8461,crowbar.open.grill.5s.mov,crowbar.rip.pillow.5s.mov,trowel.open.door.5s.mov,hammer.open.envelope.5s.mov,pliers.open.jar.5s.mov,knife.open.box.5s.mov,crowbar.break.shoe.5s.mov,poker.open.window.5s.mov,zicking_path_future_grill.wav,zicking_path_past_grill.wav,zicking_path_future_envelope.wav,zicking_path_past_envelope.wav,zicking_path_future_jar.wav,zicking_path_past_jar.wav,zicking_path_future_box.wav,zicking_path_past_box.wav,which_zicking.wav,letsfindzicking.wav
81,06-Apr-2016,13:16:27.827,CoS,Effect,4,5.7,wugging,empty,L,R,c,R,L,z,c,z,553.3383,xxxx,591.5217,1068.1012,1120.7909,1123.4988,1139.2365,poker.empty.trash.5s.mov,poker.crush.car.5s.mov,knife.empty.goblet.5s.mov,comb.empty.bowl.5s.mov,bat.empty.grocerybag.5s.mov,trowel.empty.vase.5s.mov,poker.bend.lamp.5s.mov,crowbar.empty.detergentcontainer.5s.mov,wugging_path_future_trash.wav,wugging_path_past_trash.wav,wugging_path_future_bowl.wav,wugging_path_past_bowl.wav,wugging_path_future_grocerybag.wav,wugging_path_past_grocerybag.wav,wugging_path_future_vase.wav,wugging_path_past_vase.wav,which_wugging.wav,letsfindwugging.wav
81,06-Apr-2016,13:18:18.726,CoS,Effect,5,5.8,rolting,flatten,R,L,z,L,R,c,c,z,664.2318,xxxx,591.5217,1181.3127,1232.6011,1234.8084,1250.7293,trowel.flatten.sand.5s.mov,trowel.break.flowerpot.5s.mov,crowbar.flatten.donut.5s.mov,pliers.flatten.pumpkin.5s.mov,hammer.flatten.sandwich.5s.mov,poker.flatten.cake.5s.mov,trowel.rip.sack.5s.mov,knife.flatten.sponge.5s.mov,rolting_path_future_sand.wav,rolting_path_past_sand.wav,rolting_path_future_pumpkin.wav,rolting_path_past_pumpkin.wav,rolting_path_future_sandwich.wav,rolting_path_past_sandwich.wav,rolting_path_future_cake.wav,rolting_path_past_cake.wav,which_rolting.wav,letsfindrolting.wav
81,06-Apr-2016,13:20:23.586,CoS,Effect,6,5.6,klebbing,bend,L,R,c,L,R,c,c,z,789.0857,xxxx,591.5217,1291.7063,1346.2171,1348.8723,1365.089,pliers.bend.candle.5s.mov,pliers.cut.pizza.5s.mov,hammer.bend.sunflower.5s.mov,trowel.bend.wateringcan.5s.mov,crowbar.bend.spatula.5s.mov,comb.bend.coathanger.5s.mov,pliers.empty.glass.5s.mov,bat.bend.flagpole.5s.mov,klebbing_path_future_candle.wav,klebbing_path_past_candle.wav,klebbing_path_future_wateringcan.wav,klebbing_path_past_wateringcan.wav,klebbing_path_future_spatula.wav,klebbing_path_past_spatula.wav,klebbing_path_future_coathanger.wav,klebbing_path_past_coathanger.wav,which_klebbing.wav,letsfindklebbing.wav
81,06-Apr-2016,13:22:36.031,CoS,Effect,7,5.1,blicking,break,L,R,c,R,L,z,c,z,921.5247,xxxx,591.5217,1415.1588,1466.7888,1469.1883,1486.2499,bat.break.record.5s.mov,bat.flatten.cupcake.5s.mov,comb.break.cookies.5s.mov,knife.break.frame.5s.mov,poker.break.piggybank.5s.mov,hammer.break.bone.5s.mov,bat.open.babybottle.5s.mov,pliers.break.eyeglasses.5s.mov,blicking_path_future_record.wav,blicking_path_past_record.wav,blicking_path_future_frame.wav,blicking_path_past_frame.wav,blicking_path_future_piggybank.wav,blicking_path_past_piggybank.wav,blicking_path_future_bone.wav,blicking_path_past_bone.wav,which_blicking.wav,letsfindblicking.wav
81,06-Apr-2016,13:24:37.154,CoS,Effect,8,5.5,gorping,cut,R,L,z,L,R,c,c,z,1042.6411,xxxx,591.5217,1550.8006,1604.5759,1607.2807,1623.1055,knife.cut.bread.5s.mov,knife.bend.fork.5s.mov,poker.cut.curtain.5s.mov,bat.cut.bagel.5s.mov,comb.cut.pie.5s.mov,crowbar.cut.cucumber.5s.mov,knife.crush.apple.5s.mov,trowel.cut.cheese.5s.mov,gorping_path_future_bread.wav,gorping_path_past_bread.wav,gorping_path_future_bagel.wav,gorping_path_past_bagel.wav,gorping_path_future_pie.wav,gorping_path_past_pie.wav,gorping_path_future_cucumber.wav,gorping_path_past_cucumber.wav,which_gorping.wav,letsfindgorping.wav
81,06-Apr-2016,13:25:24.917,Motion,Effect,9,1.5,torging,roll,R,L,c,NA,NA,NA,c,z,1090.402,xxxx,591.5217,NA,NA,NA,1670.1841,roll.between.trees.5s.mov,roll.through.tent.5s.mov,walk.between.buildings.5s.mov,roll.down.eagle.5s.mov,roll.up.snowman.5s.mov,roll.around.drum.5s.mov,roll.over.bush.5s.mov,crabwalk.between.lights.5s.mov,torging_manner_future_trees.wav,torging_manner_past_trees.wav,torging_manner_future_eagle.wav,torging_manner_past_eagle.wav,torging_manner_future_snowman.wav,torging_manner_past_snowman.wav,torging_manner_future_drum.wav,torging_manner_past_drum.wav,which_torging.wav,letsfindtorging.wav
81,06-Apr-2016,13:26:06.757,Motion,Effect,10,1.1,krading,crabwalk,R,L,c,NA,NA,NA,c,z,1132.2399,xxxx,591.5217,NA,NA,NA,1714.8902,crabwalk.into.garage.5s.mov,crabwalk.down.birdhouse.5s.mov,hop.into.cabin.5s.mov,crabwalk.through.tunnel.5s.mov,crabwalk.over.tires.5s.mov,crabwalk.front.bell.5s.mov,crabwalk.up.policebox.5s.mov,roll.into.tower.5s.mov,krading_manner_future_garage.wav,krading_manner_past_garage.wav,krading_manner_future_tunnel.wav,krading_manner_past_tunnel.wav,krading_manner_future_tires.wav,krading_manner_past_tires.wav,krading_manner_future_bell.wav,krading_manner_past_bell.wav,which_krading.wav,letsfindkrading.wav
