KID DATA,Condition,Phase,choseManner,numObs,intLower,intUpper,theAvg
1,Action,Base,163,265,0.553351415,0.673442979,0.61509434
2,Effect,Base,79,305,0.211543168,0.312682733,0.259016393
3,Manner,Base,49,63,0.652237256,0.869023081,0.777777778
4,Path,Base,48,77,0.505209867,0.729132452,0.623376623
5,Action,Extension,172,271,0.573966646,0.691520771,0.634686347
6,Effect,Extension,141,285,0.435419572,0.55419831,0.494736842
7,Manner,Extension,34,72,0.354765312,0.592658204,0.472222222
8,Path,Extension,30,88,0.245327401,0.450545079,0.340909091
