"","EXPERIMENT","TRIAL","BIAS","TEST","SUBNUM","DAYSOLD","AGEYEARS","INCDECISION","EXT"
"1","NA","1","MANNERBIAS","PATHBIAS","46","","","","PATHBIAS"
"2","NA","2","PATHBIAS","PATHBIAS","46",NA,NA,NA,"PATHBIAS"
"3","NA","3","PATHBIAS","PATHBIAS","46",NA,NA,NA,"MANNERBIAS"
"4","NA","4","MANNERBIAS","MANNERBIAS","46",NA,NA,NA,"MANNERBIAS"
"5","NA","5","MANNERBIAS","PATHBIAS","46",NA,NA,NA,"PATHBIAS"
"6","NA","6","MANNERBIAS","MANNERBIAS","46",NA,NA,NA,"PATHBIAS"
"7","NA","7","PATHBIAS","MANNERBIAS","46",NA,NA,NA,"MANNERBIAS"
"8","NA","8","PATHBIAS","MANNERBIAS","46",NA,NA,NA,"PATHBIAS"
"9","NA","2","PATHBIAS","MANNERBIAS","48",NA,NA,NA,NA
"10","NA","3","MANNERBIAS","MANNERBIAS","48",NA,NA,NA,NA
"11","NA","4","MANNERBIAS","PATHBIAS","48",NA,NA,NA,NA
"12","NA","5","MANNERBIAS","PATHBIAS","48",NA,NA,NA,NA
"13","NA","6","PATHBIAS","MANNERBIAS","48",NA,NA,NA,NA
"14","NA","7","PATHBIAS","PATHBIAS","48",NA,NA,NA,NA
"15","NA","8","PATHBIAS","PATHBIAS","48",NA,NA,NA,NA
"16","NA","1","PATHBIAS","MANNERBIAS","48",NA,NA,NA,"PATHBIAS"
"17","NA","6","PATHBIAS","MANNERBIAS","52",NA,NA,NA,NA
"18","NA","7","MANNERBIAS","MANNERBIAS","52",NA,NA,NA,NA
"19","NA","8","PATHBIAS","MANNERBIAS","52",NA,NA,NA,NA
"20","NA","1","MANNERBIAS","MANNERBIAS","52",NA,NA,NA,"MANNERBIAS"
"21","NA","2","PATHBIAS","MANNERBIAS","52",NA,NA,NA,"MANNERBIAS"
"22","NA","3","MANNERBIAS","PATHBIAS","52",NA,NA,NA,"MANNERBIAS"
"23","NA","4","MANNERBIAS","MANNERBIAS","52",NA,NA,NA,"PATHBIAS"
"24","NA","5","MANNERBIAS","MANNERBIAS","52",NA,NA,NA,"MANNERBIAS"
"25","NA","8","PATHBIAS","MANNERBIAS","54",NA,NA,NA,NA
"26","NA","1","PATHBIAS","MANNERBIAS","54",NA,NA,NA,"PATHBIAS"
"27","NA","2","PATHBIAS","PATHBIAS","54",NA,NA,NA,"MANNERBIAS"
"28","NA","3","MANNERBIAS","MANNERBIAS","54",NA,NA,NA,"PATHBIAS"
"29","NA","4","PATHBIAS","MANNERBIAS","54",NA,NA,NA,"PATHBIAS"
"30","NA","5","MANNERBIAS","PATHBIAS","54",NA,NA,NA,"PATHBIAS"
"31","NA","6","PATHBIAS","MANNERBIAS","54",NA,NA,NA,"MANNERBIAS"
"32","NA","7","MANNERBIAS","MANNERBIAS","54",NA,NA,NA,"PATHBIAS"
"33","NA","1","MANNERBIAS","MANNERBIAS","56",NA,NA,NA,"PATHBIAS"
"34","NA","2","PATHBIAS","PATHBIAS","56",NA,NA,NA,"MANNERBIAS"
"35","NA","3","PATHBIAS","PATHBIAS","56",NA,NA,NA,"MANNERBIAS"
"36","NA","4","PATHBIAS","PATHBIAS","56",NA,NA,NA,"PATHBIAS"
"37","NA","5","PATHBIAS","MANNERBIAS","56",NA,NA,NA,"MANNERBIAS"
"38","NA","6","PATHBIAS","PATHBIAS","56",NA,NA,NA,"PATHBIAS"
"39","NA","7","PATHBIAS","MANNERBIAS","56",NA,NA,NA,"PATHBIAS"
"40","NA","8","PATHBIAS","PATHBIAS","56",NA,NA,NA,"PATHBIAS"
"41","NA","1","MANNERBIAS","MANNERBIAS","58",NA,NA,NA,"MANNERBIAS"
"42","NA","2","MANNERBIAS","MANNERBIAS","58",NA,NA,NA,"MANNERBIAS"
"43","NA","3","MANNERBIAS","MANNERBIAS","58",NA,NA,NA,"MANNERBIAS"
"44","NA","4","MANNERBIAS","MANNERBIAS","58",NA,NA,NA,"MANNERBIAS"
"45","NA","5","MANNERBIAS","MANNERBIAS","58",NA,NA,NA,"MANNERBIAS"
"46","NA","6","MANNERBIAS","MANNERBIAS","58",NA,NA,NA,"MANNERBIAS"
"47","NA","7","MANNERBIAS","MANNERBIAS","58",NA,NA,NA,"MANNERBIAS"
"48","NA","8","MANNERBIAS","MANNERBIAS","58",NA,NA,NA,"MANNERBIAS"
"49","NA","1","PATHBIAS","PATHBIAS","61",NA,NA,NA,"PATHBIAS"
"50","NA","2","MANNERBIAS","PATHBIAS","61",NA,NA,NA,"PATHBIAS"
"51","NA","3","PATHBIAS","PATHBIAS","61",NA,NA,NA,"PATHBIAS"
"52","NA","4","PATHBIAS","PATHBIAS","61",NA,NA,NA,"PATHBIAS"
"53","NA","5","PATHBIAS","PATHBIAS","61",NA,NA,NA,"MANNERBIAS"
"54","NA","6","PATHBIAS","PATHBIAS","61",NA,NA,NA,"PATHBIAS"
"55","NA","7","MANNERBIAS","PATHBIAS","61",NA,NA,NA,"MANNERBIAS"
"56","NA","8","PATHBIAS","PATHBIAS","61",NA,NA,NA,"PATHBIAS"
"57","NA","1","PATHBIAS","PATHBIAS","62",NA,NA,NA,"MANNERBIAS"
"58","NA","2","PATHBIAS","PATHBIAS","62",NA,NA,NA,"MANNERBIAS"
"59","NA","3","PATHBIAS","MANNERBIAS","62",NA,NA,NA,"PATHBIAS"
"60","NA","4","PATHBIAS","MANNERBIAS","62",NA,NA,NA,"PATHBIAS"
"61","NA","5","MANNERBIAS","PATHBIAS","62",NA,NA,NA,"PATHBIAS"
"62","NA","6","MANNERBIAS","MANNERBIAS","62",NA,NA,NA,"PATHBIAS"
"63","NA","7","PATHBIAS","MANNERBIAS","62",NA,NA,NA,"MANNERBIAS"
"64","NA","8","MANNERBIAS","MANNERBIAS","62",NA,NA,NA,"MANNERBIAS"
"65","NA","1","MANNERBIAS","MANNERBIAS","63",NA,NA,NA,"PATHBIAS"
"66","NA","2","MANNERBIAS","MANNERBIAS","63",NA,NA,NA,"PATHBIAS"
"67","NA","3","MANNERBIAS","PATHBIAS","63",NA,NA,NA,"PATHBIAS"
"68","NA","4","PATHBIAS","PATHBIAS","63",NA,NA,NA,"PATHBIAS"
"69","NA","5","PATHBIAS","PATHBIAS","63",NA,NA,NA,"MANNERBIAS"
"70","NA","6","PATHBIAS","PATHBIAS","63",NA,NA,NA,"PATHBIAS"
"71","NA","7","PATHBIAS","PATHBIAS","63",NA,NA,NA,"PATHBIAS"
"72","NA","8","PATHBIAS","PATHBIAS","63",NA,NA,NA,"PATHBIAS"
"73","NA","1","PATHBIAS","MANNERBIAS","64",NA,NA,NA,"PATHBIAS"
"74","NA","2","MANNERBIAS","PATHBIAS","64",NA,NA,NA,"MANNERBIAS"
"75","NA","3","MANNERBIAS","MANNERBIAS","64",NA,NA,NA,"MANNERBIAS"
"76","NA","4","PATHBIAS","MANNERBIAS","64",NA,NA,NA,"PATHBIAS"
"77","NA","5","PATHBIAS","MANNERBIAS","64",NA,NA,NA,"MANNERBIAS"
"78","NA","6","PATHBIAS","PATHBIAS","64",NA,NA,NA,"MANNERBIAS"
"79","NA","7","PATHBIAS","PATHBIAS","64",NA,NA,NA,"MANNERBIAS"
"80","NA","8","MANNERBIAS","MANNERBIAS","64",NA,NA,NA,"MANNERBIAS"
"81","NA","1","MANNERBIAS","MANNERBIAS","65",NA,NA,NA,"MANNERBIAS"
"82","NA","2","MANNERBIAS","MANNERBIAS","65",NA,NA,NA,"MANNERBIAS"
"83","NA","3","MANNERBIAS","MANNERBIAS","65",NA,NA,NA,"MANNERBIAS"
"84","NA","4","MANNERBIAS","MANNERBIAS","65",NA,NA,NA,"MANNERBIAS"
"85","NA","5","MANNERBIAS","MANNERBIAS","65",NA,NA,NA,"MANNERBIAS"
"86","NA","6","MANNERBIAS","MANNERBIAS","65",NA,NA,NA,"MANNERBIAS"
"87","NA","7","MANNERBIAS","MANNERBIAS","65",NA,NA,NA,"MANNERBIAS"
"88","NA","8","MANNERBIAS","MANNERBIAS","65",NA,NA,NA,"MANNERBIAS"
"89","NA","1","PATHBIAS","PATHBIAS","66",NA,NA,NA,"MANNERBIAS"
"90","NA","2","PATHBIAS","PATHBIAS","66",NA,NA,NA,"MANNERBIAS"
