Sentence Set,Available,Finished,How many items?
"""Which one""",x,,
birking_manner_future,x,x,4
birking_manner_past,x,x,4
birking_path_future,x,x,4
birking_path_past,x,x,4
blicking_manner_future,,,
blicking_manner_past,,,
blicking_path_future,,,
blicking_path_past,,,
dacking_manner_future,x,x,4
dacking_manner_past,x,x,4
dacking_path_future,x,x,4
dacking_path_past,x,x,4
feaving_manner_future,x,x,12
feaving_manner_past,x,x,12
feaving_path_future,,,
feaving_path_past,,,
glipping_manner_future,x,x,4
glipping_manner_past,x,,
glipping_path_future,x,,
glipping_path_past,x,,
gorping_manner_future,,,
gorping_manner_past,,,
gorping_path_future,,,
gorping_path_past,,,
gossing_manner_future,,,
gossing_manner_past,,,
gossing_path_future,,,
gossing_path_past,,,
janging_manner_future,,,
janging_manner_past,,,
janging_path_future,
janging_path_past,
klebbing_manner_future,
klebbing_manner_past,
klebbing_path_future,
klebbing_path_past,
krading_manner_future,x
krading_manner_past,x
krading_path_future,x
krading_path_past,x
lorping_manner_future,
lorping_manner_past,
lorping_path_future,
lorping_path_past,
meeping_manner_future,
meeping_manner_past,
meeping_path_future,,,
meeping_path_past,,,
molking_manner_future,x,,
molking_manner_past,x,,
molking_path_future,x,x,10
molking_path_past,x,,
nibbing_manner_future,,,
nibbing_manner_past,,,
nibbing_path_future,,,
nibbing_path_past,,,
noming_manner_future,,,
noming_manner_past,,,
noming_path_future,,,
noming_path_past,,,
pilking_manner_future,,,
pilking_manner_past,,,
pilking_path_future,
pilking_path_past,
pimming_manner_future,x
pimming_manner_past,x
pimming_path_future,x
pimming_path_past,x
rithing_manner_future,
rithing_manner_past,
rithing_path_future,
rithing_path_past,
rolting_manner_future,
rolting_manner_past,
rolting_path_future,
rolting_path_past,
sterping_manner_future,
sterping_manner_past,
sterping_path_future,,,
sterping_path_past,,,
torging_manner_future,x,,
torging_manner_past,x,,
torging_path_future,x,,
torging_path_past,x,,
wugging_manner_future,,,
wugging_manner_past,,,
wugging_path_future,,,
wugging_path_past,,,
zarking_manner_future,x,,
zarking_manner_past,x,x,4
zarking_path_future,x,x,4
zarking_path_past,x,x,4
zicking_manner_future,,,
zicking_manner_past,,,
zicking_path_future
zicking_path_past
