List,Item,Contrast,Type,Target,Distractor,Cohort,SignerID,Signer,TargetMovie,DistractorMovie,SignMovie,Side
1,A5,A B,Envelope,A,B,1,41,Omar,3_Exemplar A.mov,3_Exemplar B.mov,3_Exemplar B.mov,Left
1,A3,A D,Envelope,D,A,2,184,Cinthya,1_Exemplar D.mov,1_Exemplar A.mov,1_Exemplar A.mov,Left
1,A2,B C,Envelope,B,C,1,1,Mabel,8_Exemplar B.mov,8_Exemplar C.mov,8_Exemplar C.mov,Left
1,A6,C E,Envelope,C,E,2,159,Harry,7_Exemplar C.mov,7_Exemplar E.mov,7_Exemplar E.mov,Left
1,A8,D E,Envelope,E,D,1,200,Juanita,5_Exemplar E.mov,5_Exemplar D.mov,5_Exemplar D.mov,Right
1,A4,TE,Order,TE,BL,2,217,Lea,Annie_4A TE.mov,Annie_4A BL.mov,Annie_4A BL.mov,Right
1,A1,TM,Order,BL,TM,1,36,January,David_4B BL.mov,David_4B TM2.mov,David_4B TM2.mov,Right
1,A7,TH,Order,TH,BL,2,145,Ivonne,Rachel_4J TH.mov,Rachel_4J BL.mov,Rachel_4J BL.mov,Right
1,B3,A B,Envelope,B,A,2,108,Grechin,5_Exemplar B.mov,5_Exemplar A.mov,5_Exemplar A.mov,Left
1,B4,A D,Envelope,A,D,1,215,Luis,7_Exemplar A.mov,7_Exemplar D.mov,7_Exemplar D.mov,Left
1,B6,B C,Envelope,C,B,2,230,Orlando,1_Exemplar C.mov,1_Exemplar B.mov,1_Exemplar B.mov,Left
1,B1,C E,Envelope,E,C,1,27,Maria Eugenia,8_Exemplar E.mov,8_Exemplar C.mov,8_Exemplar C.mov,Left
1,B8,D E,Envelope,D,E,2,230,Orlando,3_Exemplar D.mov,3_Exemplar E.mov,3_Exemplar E.mov,Right
1,B2,TE,Order,BL,TE,1,49,Carlos,Rachel_4D BL.mov,Rachel_4D TE.mov,Rachel_4D TE.mov,Right
1,B7,TM,Order,TM,BL,2,217,Lea,Annie_4B TM2.mov,Annie_4B BL.mov,Annie_4B BL.mov,Right
1,B5,TH,Order,TH,BL,1,39,Franklin,David_4C TH.mov,David_4C BL.mov,David_4C BL.mov,Right
2,A5,A B,Envelope,A,B,2,145,Ivonne,3_Exemplar A.mov,3_Exemplar B.mov,3_Exemplar B.mov,Left
2,A3,A D,Envelope,D,A,1,27,Maria Eugenia,1_Exemplar D.mov,1_Exemplar A.mov,1_Exemplar A.mov,Left
2,A2,B C,Envelope,B,C,2,184,Cinthya,8_Exemplar B.mov,8_Exemplar C.mov,8_Exemplar C.mov,Left
2,A6,C E,Envelope,C,E,1,215,Luis,7_Exemplar C.mov,7_Exemplar E.mov,7_Exemplar E.mov,Left
2,A8,D E,Envelope,E,D,2,159,Harry,5_Exemplar E.mov,5_Exemplar D.mov,5_Exemplar D.mov,Right
2,A4,TE,Order,TE,BL,1,1,Mabel,Annie_4A TE.mov,Annie_4A BL.mov,Annie_4A BL.mov,Right
2,A1,TM,Order,BL,TM,2,230,Orlando,David_4B BL.mov,David_4B TM2.mov,David_4B TM2.mov,Right
2,A7,TH,Order,TH,BL,1,49,Carlos,Rachel_4J TH.mov,Rachel_4J BL.mov,Rachel_4J BL.mov,Right
2,B3,A B,Envelope,B,A,1,41,Omar,5_Exemplar B.mov,5_Exemplar A.mov,5_Exemplar A.mov,Left
2,B4,A D,Envelope,A,D,2,108,Grechin,7_Exemplar A.mov,7_Exemplar D.mov,7_Exemplar D.mov,Left
2,B6,B C,Envelope,C,B,1,39,Franklin,1_Exemplar C.mov,1_Exemplar B.mov,1_Exemplar B.mov,Left
2,B1,C E,Envelope,E,C,2,217,Lea,8_Exemplar E.mov,8_Exemplar C.mov,8_Exemplar C.mov,Left
2,B8,D E,Envelope,D,E,1,36,January,3_Exemplar D.mov,3_Exemplar E.mov,3_Exemplar E.mov,Right
2,B2,TE,Order,BL,TE,2,145,Ivonne,Rachel_4D BL.mov,Rachel_4D TE.mov,Rachel_4D TE.mov,Right
2,B7,TM,Order,TM,BL,1,200,Juanita,Annie_4B TM2.mov,Annie_4B BL.mov,Annie_4B BL.mov,Right
2,B5,TH,Order,TH,BL,2,184,Cinthya,David_4C TH.mov,David_4C BL.mov,David_4C BL.mov,Right
3,A5,A B,Envelope,A,B,2,145,Ivonne,3_Exemplar A.mov,3_Exemplar B.mov,3_Exemplar B.mov,Left
3,A3,A D,Envelope,D,A,1,27,Maria Eugenia,1_Exemplar D.mov,1_Exemplar A.mov,1_Exemplar A.mov,Left
3,A2,B C,Envelope,B,C,2,184,Cinthya,8_Exemplar B.mov,8_Exemplar C.mov,8_Exemplar C.mov,Left
3,A6,C E,Envelope,C,E,1,215,Luis,7_Exemplar C.mov,7_Exemplar E.mov,7_Exemplar E.mov,Left
3,A8,D E,Envelope,E,D,2,159,Harry,5_Exemplar E.mov,5_Exemplar D.mov,5_Exemplar D.mov,Right
3,A4,TE,Order,TE,BL,1,49,Carlos,Annie_4A TE.mov,Annie_4A BL.mov,Annie_4A BL.mov,Right
3,A1,TM,Order,BL,TM,2,230,Orlando,David_4B BL.mov,David_4B TM2.mov,David_4B TM2.mov,Right
3,A7,TH,Order,TH,BL,1,200,Juanita,Rachel_4J TH.mov,Rachel_4J BL.mov,Rachel_4J BL.mov,Right
3,B3,A B,Envelope,B,A,1,41,Omar,5_Exemplar B.mov,5_Exemplar A.mov,5_Exemplar A.mov,Left
3,B4,A D,Envelope,A,D,2,108,Grechin,7_Exemplar A.mov,7_Exemplar D.mov,7_Exemplar D.mov,Left
3,B6,B C,Envelope,C,B,1,39,Franklin,1_Exemplar C.mov,1_Exemplar B.mov,1_Exemplar B.mov,Left
3,B1,C E,Envelope,E,C,2,217,Lea,8_Exemplar E.mov,8_Exemplar C.mov,8_Exemplar C.mov,Left
3,B8,D E,Envelope,D,E,1,1,Mabel,3_Exemplar D.mov,3_Exemplar E.mov,3_Exemplar E.mov,Right
3,B2,TE,Order,BL,TE,2,145,Ivonne,Rachel_4D BL.mov,Rachel_4D TE.mov,Rachel_4D TE.mov,Right
3,B7,TM,Order,TM,BL,1,36,January,Annie_4B TM2.mov,Annie_4B BL.mov,Annie_4B BL.mov,Right
3,B5,TH,Order,TH,BL,2,184,Cinthya,David_4C TH.mov,David_4C BL.mov,David_4C BL.mov,Right
4,A5,A B,Envelope,A,B,2,230,Orlando,3_Exemplar A.mov,3_Exemplar B.mov,3_Exemplar B.mov,Left
4,A3,A D,Envelope,D,A,1,27,Maria Eugenia,1_Exemplar D.mov,1_Exemplar A.mov,1_Exemplar A.mov,Left
4,A2,B C,Envelope,B,C,2,145,Ivonne,8_Exemplar B.mov,8_Exemplar C.mov,8_Exemplar C.mov,Left
4,A6,C E,Envelope,C,E,1,215,Luis,7_Exemplar C.mov,7_Exemplar E.mov,7_Exemplar E.mov,Left
4,A8,D E,Envelope,E,D,2,217,Lea,5_Exemplar E.mov,5_Exemplar D.mov,5_Exemplar D.mov,Right
4,A4,TE,Order,TE,BL,1,41,Omar,Annie_4A TE.mov,Annie_4A BL.mov,Annie_4A BL.mov,Right
4,A1,TM,Order,BL,TM,2,184,Cinthya,David_4B BL.mov,David_4B TM2.mov,David_4B TM2.mov,Right
4,A7,TH,Order,TH,BL,1,36,January,Rachel_4J TH.mov,Rachel_4J BL.mov,Rachel_4J BL.mov,Right
4,B3,A B,Envelope,B,A,1,1,Mabel,5_Exemplar B.mov,5_Exemplar A.mov,5_Exemplar A.mov,Left
4,B4,A D,Envelope,A,D,2,108,Grechin,7_Exemplar A.mov,7_Exemplar D.mov,7_Exemplar D.mov,Left
4,B6,B C,Envelope,C,B,1,39,Franklin,1_Exemplar C.mov,1_Exemplar B.mov,1_Exemplar B.mov,Left
4,B1,C E,Envelope,E,C,2,230,Orlando,8_Exemplar E.mov,8_Exemplar C.mov,8_Exemplar C.mov,Left
4,B8,D E,Envelope,D,E,1,49,Carlos,3_Exemplar D.mov,3_Exemplar E.mov,3_Exemplar E.mov,Right
4,B2,TE,Order,BL,TE,2,145,Ivonne,Rachel_4D BL.mov,Rachel_4D TE.mov,Rachel_4D TE.mov,Right
4,B7,TM,Order,TM,BL,1,200,Juanita,Annie_4B TM2.mov,Annie_4B BL.mov,Annie_4B BL.mov,Right
4,B5,TH,Order,TH,BL,2,159,Harry,David_4C TH.mov,David_4C BL.mov,David_4C BL.mov,Right
5,A5,A B,Envelope,A,B,2,108,Grechin,3_Exemplar A.mov,3_Exemplar B.mov,3_Exemplar B.mov,Left
5,A3,A D,Envelope,D,A,1,39,Franklin,1_Exemplar D.mov,1_Exemplar A.mov,1_Exemplar A.mov,Left
5,A2,B C,Envelope,B,C,2,230,Orlando,8_Exemplar B.mov,8_Exemplar C.mov,8_Exemplar C.mov,Left
5,A6,C E,Envelope,C,E,1,36,January,7_Exemplar C.mov,7_Exemplar E.mov,7_Exemplar E.mov,Left
5,A8,D E,Envelope,E,D,2,159,Harry,5_Exemplar E.mov,5_Exemplar D.mov,5_Exemplar D.mov,Right
5,A4,TE,Order,TE,BL,1,27,Maria Eugenia,Annie_4A TE.mov,Annie_4A BL.mov,Annie_4A BL.mov,Right
5,A1,TM,Order,BL,TM,2,184,Cinthya,David_4B BL.mov,David_4B TM2.mov,David_4B TM2.mov,Right
5,A7,TH,Order,TH,BL,1,49,Carlos,Rachel_4J TH.mov,Rachel_4J BL.mov,Rachel_4J BL.mov,Right
5,B3,A B,Envelope,B,A,1,1,Mabel,5_Exemplar B.mov,5_Exemplar A.mov,5_Exemplar A.mov,Left
5,B4,A D,Envelope,A,D,2,145,Ivonne,7_Exemplar A.mov,7_Exemplar D.mov,7_Exemplar D.mov,Left
5,B6,B C,Envelope,C,B,1,215,Luis,1_Exemplar C.mov,1_Exemplar B.mov,1_Exemplar B.mov,Left
5,B1,C E,Envelope,E,C,2,217,Lea,8_Exemplar E.mov,8_Exemplar C.mov,8_Exemplar C.mov,Left
5,B8,D E,Envelope,D,E,1,200,Juanita,3_Exemplar D.mov,3_Exemplar E.mov,3_Exemplar E.mov,Right
5,B2,TE,Order,BL,TE,2,108,Grechin,Rachel_4D BL.mov,Rachel_4D TE.mov,Rachel_4D TE.mov,Right
5,B7,TM,Order,TM,BL,1,41,Omar,Annie_4B TM2.mov,Annie_4B BL.mov,Annie_4B BL.mov,Right
5,B5,TH,Order,TH,BL,2,230,Orlando,David_4C TH.mov,David_4C BL.mov,David_4C BL.mov,Right
6,A5,A B,Envelope,A,B,2,217,Lea,3_Exemplar A.mov,3_Exemplar B.mov,3_Exemplar B.mov,Left
6,A3,A D,Envelope,D,A,1,39,Franklin,1_Exemplar D.mov,1_Exemplar A.mov,1_Exemplar A.mov,Left
6,A2,B C,Envelope,B,C,2,159,Harry,8_Exemplar B.mov,8_Exemplar C.mov,8_Exemplar C.mov,Left
