List,Item,Contrast,Type,Target,Distractor,Cohort,Signer ID,Signer,TargetMovie,DistractorMovie,SignMovie,Side,Side
1,A1,TM,Order,BL,TM,1,39,Franklin,David_4B BL.mov,David_4B TM2.mov,39_1_A1_Order_BL.mov,T,Left
1,A2,B C,Envelope,B,C,1,1,Mabel,8_Exemplar B.mov,8_Exemplar C.mov,1_1_A2_Envelope_B.mov,T,Left
1,A3,A D,Envelope,D,A,2,230,Orlando,1_Exemplar D.mov,1_Exemplar A.mov,230_2_A3_Envelope_D.mov,T,Left
1,A4,TE,Order,TE,BL,2,230,Orlando,Annie_4A TE.mov,Annie_4A BL.mov,230_2_A4_Order_TE.mov,T,Left
1,A5,A B,Envelope,A,B,1,215,Luis,3_Exemplar A.mov,3_Exemplar B.mov,215_1_A5_Envelope_A.mov,T,Left
1,A7,TH,Order,TH,BL,2,159,Harry,Rachel_4J TH.mov,Rachel_4J BL.mov,159_2_A7_Order_TH.mov,T,Left
1,A8,D E,Envelope,E,D,1,200,Juanita,5_Exemplar E.mov,5_Exemplar D.mov,200_1_A8_Envelope_E.mov,T,Left
1,B1,C E,Envelope,E,C,1,41,Omar,8_Exemplar E.mov,8_Exemplar C.mov,41_1_B1_Envelope_E.mov,T,Right
1,B2,TH,Order,BL,TE,1,36,January,Rachel_4D BL.mov,Rachel_4D TE.mov,36_1_B2_Order_BL.mov,D,Right
1,B3,A B,Envelope,B,A,2,217,Lea,5_Exemplar B.mov,5_Exemplar A.mov,217_2_B3_Envelope_B.mov,D,Right
1,B5,TE,Order,TH,BL,1,49,Carlos,David_4C TH.mov,David_4C BL.mov,49_1_B5_Order_TH.mov,D,Right
1,B6,B C,Envelope,C,B,2,184,Cinthya,1_Exemplar C.mov,1_Exemplar B.mov,184_2_B6_Envelope_C.mov,D,Right
1,B7,TM,Order,TM,BL,2,217,Lea,Annie_4B TM2.mov,Annie_4B BL.mov,217_2_B7_Order_TM.mov,D,Right
1,B8,D E,Envelope,D,E,2,145,Ivonne,3_Exemplar D.mov,3_Exemplar E.mov,145_B8_Envelope_D.mov,D,Right
