amyFileName;List;itemID;eventType;Condition;Manner;Path;verbName;verbMeaning;ambigS;ambigV;mbiasV;mbiasAns;pbias;pbiasAns;trainS1;trainV1;trainS2;trainV2;trainS3;trainV3;mTest;mTestAns;pTest;pTestAns;movieLenght
MannerOfMotionCondition;1;1;Motion;Manner;crabwalk;into;krading;crabwalk;The monster is krading into the garage.;crabwalk.into.garage.mov;crabwalk.down.birdhouse.mov;1;hop.into.cabin.mov;0;The monster is krading through the tunnel. ;crabwalk.through.tunnel.mov;The monster is krading over the tires. ;crabwalk.over.tires.mov;The monster is krading in front of bell.;crabwalk.front.bell.mov;roll.into.tower.mov;0;crabwalk.up.policebox.mov;1;7,1
MannerOfMotionCondition;1;2;Motion;Manner;crawl;down;glipping;crawl;The monster is glipping down to the clown.;crawl.down.clown.mov;flapwalk.down.frog.mov;0;crawl.into.cave.mov;1;The monster is glipping between the mailboxes. ;crawl.between.mailboxes.mov;The monster is glipping in front of the bench. ;crawl.front.bench.mov;The monster is glipping over the mountain.;crawl.over.mountain.mov;crawl.around.birdhouse.mov;1;stoopwalk.down.lamp.mov;0;7,1
MannerOfMotionCondition;1;3;Motion;Manner;flapwalk;up;zarking;flapwalk;The monster is zarking up to the cat.;flapwalk.up.cat.mov;flapwalk.around.horse.mov;1;crawl.up.swan.mov;0;The monster is zarking in front of the penguin. ;flapwalk.front.penguin.mov;The monster is zarking between the seesaws. ;flapwalk.between.seesaws.mov;The monster is zarking through the waterfall.;flapwalk.through.waterfall.mov;tiptoe.up.well.mov;0;flapwalk.into.igloo.mov;1;7,1
MannerOfMotionCondition;1;4;Motion;Manner;hop;around;molking;hop;The monster is molking around the penguin.;hop.around.penguin.mov;crabwalk.around.firehouse.mov;0;hop.up.deer.mov;1;The monster is molking over the book. ;hop.over.book.mov;The monster is molking through the tree. ;hop.through.tree.mov;The monster is molking between the snowmen.;hop.between.snowmen.mov;hop.down.gazeebo.mov;1;walk.around.goat.mov;0;7,1
MannerOfMotionCondition;1;5;Motion;Manner;roll;between;torging;roll;The monster is torging between the trees. ;roll.between.trees.mov;roll.through.tent.mov;1;walk.between.buildings.mov;0;The monster is torging down to the eagle. ;roll.down.eagle.mov;The monster is torging up to the snowman. ;roll.up.snowman.mov;The monster is torging around the drum.;roll.around.drum.mov;crabwalk.between.lights.mov;0;roll.over.shrub.mov;1;7,1
MannerOfMotionCondition;1;6;Motion;Manner;stoopwalk;through;pimming;stoopwalk;The monster is pimming through the flowers.;stoopwalk.through.flowers.mov;tiptoe.through.lighthouse.mov;0;stoopwalk.between.swings.mov;1;The monster is pimming into the barn. ;stoopwalk.into.barn.mov;The monster is pimming around the fountain. ;stoopwalk.around.fountain.mov;The monster is pimming up to the monkey.;stoopwalk.up.monkey.mov;stoopwalk.front.fishtank.mov;1;crawl.through.pyramid.mov;0;7,1
MannerOfMotionCondition;1;7;Motion;Manner;tiptoe;over;birking;tiptoe;The monster is birking over the cone.;tiptoe.over.cone.mov;tiptoe.front.snowplow.mov;1;stoopwalk.over.haystack.mov;0;The monster is birking around the spaceship. ;tiptoe.around.spaceship.mov;The monster is birking into the spaceship. ;tiptoe.into.spaceship.mov;The monster is birking down to the dog.;tiptoe.down.dog.mov;flapwalk.over.plane.mov;0;tiptoe.between.pigs.mov;1;7,1
MannerOfMotionCondition;1;8;Motion;Manner;walk;front;dacking;walk;The monster is dacking in front of the elephant. ;walk.front.elephant.mov;roll.front.giraffe.mov;0;walk.over.sandpile.mov;1;The monster is dacking up to the owl. ;walk.up.owl.mov;The monster is dacking down to the cow. ;walk.down.cow.mov;The monster is dacking into the castle.;walk.into.castle.mov;walk.through.hut.mov;1;hop.front.bunny.mov;0;7,1
MannerOfMotionCondition_DOsentences;2;1;Motion;Manner;crabwalk;into;krading;crabwalk;The monster is krading the garage.;crabwalk.into.garage.mov;crabwalk.down.birdhouse.mov;1;hop.into.cabin.mov;0;The monster is krading the tunnel. ;crabwalk.through.tunnel.mov;The monster is krading the tires. ;crabwalk.over.tires.mov;The monster is krading bell.;crabwalk.front.bell.mov;roll.into.tower.mov;0;crabwalk.up.policebox.mov;1;7,1
MannerOfMotionCondition_DOsentences;2;2;Motion;Manner;crawl;down;glipping;crawl;The monster is glipping the clown.;crawl.down.clown.mov;flapwalk.down.frog.mov;0;crawl.into.cave.mov;1;The monster is glipping the mailboxes. ;crawl.between.mailboxes.mov;The monster is glipping the bench. ;crawl.front.bench.mov;The monster is glipping the mountain.;crawl.over.mountain.mov;crawl.around.birdhouse.mov;1;stoopwalk.down.lamp.mov;0;7,1
