List,Experiment,amyFileName,itemID,eventType,Condition,Manner,Path,verbName,verbMeaning,ambigGoingTo,ambigDidIt,ambigV,whichOne,mBiasV,mBiasAns,pBiasV,pBiasAns,trainS1Going,trainS1DidIt,trainV1,trainS2Going,trainS2DidIt,trainV2,trainS3Going,trainS3DidIt,trainV3,mTestV,mTestAns,pTestV,pTestAns,movieLenght,ambigAudioFuture,ambigAudioPast,trainAudioFuture1,trainAudioPast1,trainAudioFuture2,trainAudioPast2,trainAudioFuture3,trainAudioPast3,whichOneAudio,letsFindAudio,starImage
1,MoM_Agentive,MannerOfMotionCondition,1.1,Motion,Manner,crabwalk,into,krading,crabwalk,The monster is going to krade into the garage.,The monster kraded into the garage.,crabwalk.into.garage.5s.mov,Which one is krading?,crabwalk.down.birdhouse.5s.mov,1,hop.into.cabin.5s.mov,0,The monster is going to krade through the tunnel. ,The monster kraded through the tunnel. ,crabwalk.through.tunnel.5s.mov,The monster is going to krade over the tires. ,The monster kraded over the tires. ,crabwalk.over.tires.5s.mov,The monster is going to krade in front of the bell.,The monster kraded in front of the bell.,crabwalk.front.bell.5s.mov,roll.into.tower.5s.mov,0,crabwalk.up.policebox.5s.mov,1,7.1,krading_manner_future_garage.wav,krading_manner_past_garage.wav,krading_manner_future_tunnel.wav,krading_manner_past_tunnel.wav,krading_manner_future_tires.wav,krading_manner_past_tires.wav,krading_manner_future_bell.wav,krading_manner_past_bell.wav,which_krading.wav,letsfindkrading.wav,stars.004.jpg
1,MoM_Agentive,MannerOfMotionCondition,1.2,Motion,Manner,crawl,down,glipping,crawl,The monster is going to glip down to the clown.,The monster glipped down to the clown.,crawl.down.clown.5s.mov,Which one is glipping?,flapwalk.down.frog.5s.mov,0,crawl.into.cave.5s.mov,1,The monster is going to glip between the mailboxes. ,The monster glipped between the mailboxes. ,crawl.between.mailboxes.5s.mov,The monster is going to glip in front of the bench. ,The monster glipped in front of the bench. ,crawl.front.bench.5s.mov,The monster is going to glip over the mountain.,The monster glipped over the mountain.,crawl.over.mountain.5s.mov,crawl.up.scarecrow.5s.mov,1,stoopwalk.down.lamp.5s.mov,0,7.1,glipping_manner_future_clown.wav,glipping_manner_past_clown.wav,glipping_manner_future_mailboxes.wav,glipping_manner_past_mailboxes.wav,glipping_manner_future_bench.wav,glipping_manner_past_bench.wav,glipping_manner_future_mountain.wav,glipping_manner_past_mountain.wav,which_glipping.wav,letsfindglipping.wav,stars.005.jpg
1,MoM_Agentive,MannerOfMotionCondition,1.3,Motion,Manner,flapwalk,up,zarking,flapwalk,The monster is going to zark up to the cat.,The monster zarked up to the cat.,flapwalk.up.cat.5s.mov,Which one is zarking?,flapwalk.around.horse.5s.mov,1,crawl.up.swan.5s.mov,0,The monster is going to zark in front of the penguin. ,The monster zarked in front of the penguin. ,flapwalk.front.penguin.5s.mov,The monster is going to zark between the seesaws. ,The monster zarked between the seesaws. ,flapwalk.between.seesaws.5s.mov,The monster is going to zark through the waterfall.,The monster zarked through the waterfall.,flapwalk.through.waterfall.5s.mov,tiptoe.up.well.5s.mov,0,flapwalk.into.igloo.5s.mov,1,7.1,zarking_manner_future_cat.wav,zarking_manner_past_cat.wav,zarking_manner_future_penguin.wav,zarking_manner_past_penguin.wav,zarking_manner_future_seesaws.wav,zarking_manner_past_seesaws.wav,zarking_manner_future_waterfall.wav,zarking_manner_past_waterfall.wav,which_zarking.wav,letsfindzarking.wav,stars.006.jpg
1,MoM_Agentive,MannerOfMotionCondition,1.4,Motion,Manner,hop,around,molking,hop,The monster is going to molk around the penguin.,The monster molked around the penguin.,hop.around.penguin.5s.mov,Which one is molking?,crawl.around.birdhouse.5s.mov,0,hop.up.deer.5s.mov,1,The monster is going to molk over the book. ,The monster molked over the book. ,hop.over.book.5s.mov,The monster is going to molk through the tree. ,The monster molked through the tree. ,hop.through.tree.5s.mov,The monster is going to molk between the snowmen.,The monster molked between the snowmen.,hop.between.snowmen.5s.mov,hop.down.gazebo.5s.mov,1,walk.around.goat.5s.mov,0,7.1,molking_manner_future_penguin.wav,molking_manner_past_penguin.wav,molking_manner_future_book.wav,molking_manner_past_book.wav,molking_manner_future_tree.wav,molking_manner_past_tree.wav,molking_manner_future_snowmen.wav,molking_manner_past_snowmen.wav,which_molking.wav,letsfindmolking.wav,stars.007.jpg
1,MoM_Agentive,MannerOfMotionCondition,1.5,Motion,Manner,roll,between,torging,roll,The monster is going to torg between the trees.,The monster torged between the trees.,roll.between.trees.5s.mov,Which one is torging?,roll.through.tent.5s.mov,1,walk.between.buildings.5s.mov,0,The monster is going to torg down to the eagle. ,The monster torged down to the eagle. ,roll.down.eagle.5s.mov,The monster is going to torg up to the snowman. ,The monster torged up to the snowman. ,roll.up.snowman.5s.mov,The monster is going to torg around the drum.,The monster torged around the drum.,roll.around.drum.5s.mov,crabwalk.between.lights.5s.mov,0,roll.over.bush.5s.mov,1,7.1,torging_manner_future_trees.wav,torging_manner_past_trees.wav,torging_manner_future_eagle.wav,torging_manner_past_eagle.wav,torging_manner_future_snowman.wav,torging_manner_past_snowman.wav,torging_manner_future_drum.wav,torging_manner_past_drum.wav,which_torging.wav,letsfindtorging.wav,stars.008.jpg
1,MoM_Agentive,MannerOfMotionCondition,1.6,Motion,Manner,stoopwalk,through,pimming,stoopwalk,The monster is going to pim through the flowers.,The monster pimmed through the flowers.,stoopwalk.through.flowers.5s.mov,Which one is pimming?,tiptoe.through.lighthouse.5s.mov,0,stoopwalk.between.swings.5s.mov,1,The monster is going to pim into the barn. ,The monster pimmed into the barn. ,stoopwalk.into.barn.5s.mov,The monster is going to pim around the fountain. ,The monster pimmed around the fountain. ,stoopwalk.around.fountain.5s.mov,The monster is going to pim up to the monkey.,The monster pimmed up to the monkey.,stoopwalk.up.monkey.5s.mov,stoopwalk.front.fishtank.5s.mov,1,crawl.through.pyramid.5s.mov,0,7.1,pimming_manner_future_flowers.wav,pimming_manner_past_flowers.wav,pimming_manner_future_barn.wav,pimming_manner_past_barn.wav,pimming_manner_future_fountain.wav,pimming_manner_past_fountain.wav,pimming_manner_future_monkey.wav,pimming_manner_past_monkey.wav,which_pimming.wav,letsfindpimming.wav,stars.009.jpg
1,MoM_Agentive,MannerOfMotionCondition,1.7,Motion,Manner,tiptoe,over,birking,tiptoe,The monster is going to birk over the cone.,The monster birked over the cone.,tiptoe.over.cone.5s.mov,Which one is birking?,tiptoe.front.snowplow.5s.mov,1,stoopwalk.over.haystack.5s.mov,0,The monster is going to birk around the spaceship. ,The monster birked around the spaceship. ,tiptoe.around.spaceship.5s.mov,The monster is going to birk into the spaceship. ,The monster birked into the spaceship. ,tiptoe.into.spaceship2.5s.mov,The monster is going to birk down to the dog.,The monster birked down to the dog.,tiptoe.down.dog.5s.mov,flapwalk.over.plane.5s.mov,0,tiptoe.between.pigs.5s.mov,1,7.1,birking_manner_future_cone.wav,birking_manner_past_cone.wav,birking_manner_future_spaceship.wav,birking_manner_past_spaceship.wav,birking_manner_future_spaceship2.wav,birking_manner_past_spaceship2.wav,birking_manner_future_dog.wav,birking_manner_past_dog.wav,which_birking.wav,letsfindbirking.wav,stars.010.jpg
1,MoM_Agentive,MannerOfMotionCondition,1.8,Motion,Manner,walk,front,dacking,walk,The monster is going to dack in front of the elephant.,The monster dacked in front of the elephant.,walk.front.elephant.5s.mov,Which one is dacking?,roll.front.giraffe.5s.mov,0,walk.over.sandpile.5s.mov,1,The monster is going to dack into the castle.,The monster dacked into the castle.,walk.into.castle.5s.mov,The monster is going to dack down to the cow. ,The monster dacked down to the cow. ,walk.down.cow.5s.mov,The monster is going to dack up to the owl. ,The monster dacked up to the owl. ,walk.up.owl.5s.mov,walk.through.hut.5s.mov,1,hop.front.bunny.5s.mov,0,7.1,dacking_manner_future_elephant.wav,dacking_manner_past_elephant.wav,dacking_manner_future_castle.wav,dacking_manner_past_castle.wav,dacking_manner_future_cow.wav,dacking_manner_past_cow.wav,dacking_manner_future_owl.wav,dacking_manner_past_owl.wav,which_dacking.wav,letsfinddacking.wav,stars.011.jpg
2,MoM_Instrumental,MannerOfMotionCondition_Instrumental,2.1,Motion,Manner,drive,into,noming,drive,The man is going to nom into the garage.,The man nommed into the garage.,drive.into.house.mov,Which one is nomming?,drive.over.cone.mov,1,fly.into.spaceship.mov,0,The man is going to nom under the train.,The man nommed under the train.,drive.under.train.mov,The man is going to nom up to the cat.,The man nommed up to the cat.,drive.up.cat.mov,The man is going to nom behind the windmill.,The man nommed behind the windmill.,drive.behind.windmill.mov,bike.into.truck.mov,0,drive.around.firehouse.mov,1,7,noming_manner_future_house.wav,noming_manner_past_house.wav,noming_manner_future_train.wav,noming_manner_past_train.wav,noming_manner_future_cat.wav,noming_manner_past_cat.wav,noming_manner_future_windmill.wav,noming_manner_past_windmill.wav,which_nomming.wav,letsfindnoming.wav,stars.004.jpg
2,MoM_Instrumental,MannerOfMotionCondition_Instrumental,2.2,Motion,Manner,carpet,down,meeping,carpet,The boy is going to meep down to the lamp.,The boy meeped down to the lamp.,carpet.down.lamp.mov,Which one is meeping?,skate.down.seesaw.mov,0,carpet.btw.thrones.mov,1,The boy is going to meep in front of the clock.,The boy meeped in front of the clock.,carpet.front.clock.mov,The boy is going to meep under the table.,The boy meeped under the table.,carpet.under.table.mov,The boy is going to meep around the drum.,The boy meeped around the drum.,carpet.around.drum.mov,carpet.into.tower.mov,1,ski.down.owl.mov,0,7,meeping_manner_future_lamp.wav,meeping_manner_past_lamp.wav,meeping_manner_future_clock.wav,meeping_manner_past_clock.wav,meeping_manner_future_table.wav,meeping_manner_past_table.wav,meeping_manner_future_drum.wav,meeping_manner_past_drum.wav,which_meeping.wav,letsfindmeeping.wav,stars.005.jpg
