List;amyFileName;itemID;eventType;Condition;Manner;Path;verbName;verbMeaning;ambigS_not_recording;ambig_going_to;ambig_did_it;which_one;ambigV;mbiasV;mbiasAns;pbias;pbiasAns;trainS1_not_recording;trainS1_going;trainS1_did_it;trainV1;trainS2_not_recording;trainS2_going;trainS2_did_it;trainV2;trainS3_not_recording;trainS3_going;trainS3_did_it;trainV3;mTest;mTestAns;pTest;which_one_not_recording;pTestAns;movieLenght;Side
1;MannerOfMotionCondition;1;Motion;Manner;crabwalk;into;krading;crabwalk;The monster is krading into the garage.;The monster is going to krade into the garage.;The monster kraded into the garage.;Which one is krading?;crabwalk.into.garage.mov;crabwalk.down.birdhouse.mov;1;hop.into.cabin.mov;0;The monster is krading through the tunnel. ;The monster is going to krade through the tunnel. ;The monster kraded through the tunnel. ;crabwalk.through.tunnel.mov;The monster is krading over the tires. ;The monster is going to krade over the tires. ;The monster kraded over the tires. ;crabwalk.over.tires.mov;The monster is krading in front of bell.;The monster is going to krade in front of bell.;The monster kraded in front of bell.;crabwalk.front.bell.mov;roll.into.tower.mov;0;crabwalk.up.policebox.mov;Which one is krading?;1;7,1;T
1;MannerOfMotionCondition;2;Motion;Manner;crawl;down;glipping;crawl;The monster is glipping down to the clown.;The monster is going to glip down to the clown.;The monster glipped down to the clown.;Which one is glipping?;crawl.down.clown.mov;flapwalk.down.frog.mov;0;crawl.into.cave.mov;1;The monster is glipping between the mailboxes. ;The monster is going to glip between the mailboxes. ;The monster glipped between the mailboxes. ;crawl.between.mailboxes.mov;The monster is glipping in front of the bench. ;The monster is going to glip in front of the bench. ;The monster glipped in front of the bench. ;crawl.front.bench.mov;The monster is glipping over the mountain.;The monster is going to glip over the mountain.;The monster glipped over the mountain.;crawl.over.mountain.mov;crawl.around.birdhouse.mov;1;stoopwalk.down.lamp.mov;Which one is glipping?;0;7,1;T
1;MannerOfMotionCondition;3;Motion;Manner;flapwalk;up;zarking;flapwalk;The monster is zarking up to the cat.;The monster is going to zark up to the cat.;The monster zarked up to the cat.;Which one is zarking?;flapwalk.up.cat.mov;flapwalk.around.horse.mov;1;crawl.up.swan.mov;0;The monster is zarking in front of the penguin. ;The monster is going to zark in front of the penguin. ;The monster zarked in front of the penguin. ;flapwalk.front.penguin.mov;The monster is zarking between the seesaws. ;The monster is going to zark between the seesaws. ;The monster zarked between the seesaws. ;flapwalk.between.seesaws.mov;The monster is zarking through the waterfall.;The monster is going to zark through the waterfall.;The monster zarked through the waterfall.;flapwalk.through.waterfall.mov;tiptoe.up.well.mov;0;flapwalk.into.igloo.mov;Which one is zarking?;1;7,1;T
1;MannerOfMotionCondition;4;Motion;Manner;hop;around;molking;hop;The monster is molking around the penguin.;The monster is going to molk around the penguin.;The monster molked around the penguin.;Which one is molking?;hop.around.penguin.mov;crabwalk.around.firehouse.mov;0;hop.up.deer.mov;1;The monster is molking over the book. ;The monster is going to molk over the book. ;The monster molked over the book. ;hop.over.book.mov;The monster is molking through the tree. ;The monster is going to molk through the tree. ;The monster molked through the tree. ;hop.through.tree.mov;The monster is molking between the snowmen.;The monster is going to molk between the snowmen.;The monster molked between the snowmen.;hop.between.snowmen.mov;hop.down.gazebo.mov;1;walk.around.goat.mov;Which one is molking?;0;7,1;T
1;MannerOfMotionCondition;5;Motion;Manner;roll;between;torging;roll;The monster is torging between the trees. ;The monster is going to torg between the trees.;The monster torged between the trees.;Which one is torging?;roll.between.trees.mov;roll.through.tent.mov;1;walk.between.buildings.mov;0;The monster is torging down to the eagle. ;The monster is going to torg down to the eagle. ;The monster torged down to the eagle. ;roll.down.eagle.mov;The monster is torging up to the snowman. ;The monster is going to torg up to the snowman. ;The monster torged up to the snowman. ;roll.up.snowman.mov;The monster is torging around the drum.;The monster is going to torg around the drum.;The monster torged around the drum.;roll.around.drum.mov;crabwalk.between.lights.mov;0;roll.over.bush.mov;Which one is torging?;1;7,1;T
1;MannerOfMotionCondition;6;Motion;Manner;stoopwalk;through;pimming;stoopwalk;The monster is pimming through the flowers.;The monster is going to pim through the flowers.;The monster pimmed through the flowers.;Which one is pimming?;stoopwalk.through.flowers.mov;tiptoe.through.lighthouse.mov;0;stoopwalk.between.swings.mov;1;The monster is pimming into the barn. ;The monster is going to pim into the barn. ;The monster pimmed into the barn. ;stoopwalk.into.barn.mov;The monster is pimming around the fountain. ;The monster is going to pim around the fountain. ;The monster pimmed around the fountain. ;stoopwalk.around.fountain.mov;The monster is pimming up to the monkey.;The monster is going to pim up to the monkey.;The monster pimmed up to the monkey.;stoopwalk.up.monkey.mov;stoopwalk.front.fishtank.mov;1;crawl.through.pyramid.mov;Which one is pimming?;0;7,1;T
1;MannerOfMotionCondition;7;Motion;Manner;tiptoe;over;birking;tiptoe;The monster is birking over the cone.;The monster is going to birk over the cone.;The monster birked over the cone.;Which one is birking?;tiptoe.over.cone.mov;tiptoe.front.snowplow.mov;1;stoopwalk.over.haystack.mov;0;The monster is birking around the spaceship. ;The monster is going to birk around the spaceship. ;The monster birked around the spaceship. ;tiptoe.around.spaceship.mov;The monster is birking into the spaceship. ;The monster is going to birk into the spaceship. ;The monster birked into the spaceship. ;tiptoe.into.spaceship.mov;The monster is birking down to the dog.;The monster is going to birk down to the dog.;The monster birked down to the dog.;tiptoe.down.dog.mov;flapwalk.over.plane.mov;0;tiptoe.between.pigs.mov;Which one is birking?;1;7,1;T
1;MannerOfMotionCondition;8;Motion;Manner;walk;front;dacking;walk;The monster is dacking in front of the elephant. ;The monster is going to dack in front of the elephant.;The monster dacked in front of the elephant.;Which one is dacking?;walk.front.elephant.mov;roll.front.giraffe.mov;0;walk.over.sandpile.mov;1;The monster is dacking up to the owl. ;The monster is going to dack up to the owl. ;The monster dacked up to the owl. ;walk.up.owl.mov;The monster is dacking down to the cow. ;The monster is going to dack down to the cow. ;The monster dacked down to the cow. ;walk.down.cow.mov;The monster is dacking into the castle.;The monster is going to dack into the castle.;The monster dacked into the castle.;walk.into.castle.mov;walk.through.hut.mov;1;hop.front.bunny.mov;Which one is dacking?;0;7,1;T
2;MannerOfMotionCondition_Instrumental;1;Motion;Manner;drive;into;noming;drive;The man is noming into the garage.;The man is going to nom into the garage.;The man nommed into the garage.;Which one is nomming?;drive.into.house.mov;drive.over.cone.mov;1;fly.into.spaceship.mov;0;The man is noming under the train.;The man is going to nom under the train.;The man nommed under the train.;drive.under.train.mov;The man is noming up to the cat.;The man is going to nom up to the cat.;The man nommed up to the cat.;drive.up.cat.mov;The man is noming behind the windmill.;The man is going to nom behind the windmill.;The man nommed behind the windmill.;drive.behind.windmill.mov;bike.into.truck.mov;0;drive.around.firehouse.mov;Which one is nomming?;1;7;T
2;MannerOfMotionCondition_Instrumental;2;Motion;Manner;carpet;down;meeping;carpet;The boy is meeping down to the lamp.;The boy is going to meep down to the lamp.;The boy meeped down to the lamp.;Which one is meeping?;carpet.down.lamp.mov;skate.down.seesaw.mov;0;carpet.btw.thrones.mov;1;The boy is meeping in front of the clock.;The boy is going to meep in front of the clock.;The boy meeped in front of the clock.;carpet.front.clock.mov;The boy is meeping under the table.;The boy is going to meep under the table.;The boy meeped under the table.;carpet.under.table.mov;The boy is meeping around the drum.;The boy is going to meep around the drum.;The boy meeped around the drum.;carpet.around.drum.mov;carpet.into.tower.mov;1;ski.down.owl.mov;Which one is meeping?;0;7;T
