Participant #,Experiment,Verb Condition,Video File,Video Release,Gender,Jittered Days Old,Age.Years,Age.Months,Where Conducted,Experimenter,Notes,Inclusion Decision,Exclude Reason,Blind Code?,2nd Coder,zzz,zzzzz,zzzzzz,Legacy columns ->,Experiment Group,Has video release?,Condition
1,Pilot,Manner,MannerPath_101615,VR,F,1814,4,11,Harvard,Melissa,"Very first kid! She was very pleased about the stars, clearly found it very straightforward. I read the wrong consent form and called her by her sister's name for whole first part of the session!",0,Pilot,NA,,,,,,Pilot,1,Manner-Agentive
2,Pilot,Manner,NA,VR,M,2106,5,9,Harvard,Melissa,"Got through 6 trials: (he hit space at the wrong moment.) I failed to record video!  Thought the task was reeeeely easy, sighing during repeats on training videos",0,Pilot,NA,,,,,,Pilot,1,Manner-Agentive
3,Pilot,Path,MannerPath_103015,VR,F,1794,4,10,Harvard,Annelot,Bilingual (Turkish = path bias),0,Pilot,NA,,,,,,Pilot,1,Path-Agent
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Something went wrong during the exp, so #5 is actually the 4th participant",NA,NA,NA,,,,,,NA,NA,NA
5,Pilot,Path,MannerPath_103115,VR,M,1828,5,0,Harvard,Annelot,"He was very excited about the videos! He wanted to use the keyboard himself, during the dacking bias  test (let's check this) he pressed the wrong button, so we need to code the video. ",0,Pilot,NA,,,,,,Pilot,1,Path-Agent
6,Pilot,Path,MannerPath_110115,VR,M,1952,5,4,Harvard,Annelot,"Bilingual (Chinese 50%), task was very easy.",0,Pilot,NA,,,,,,Pilot,1,Path-Agent
7,E1 - MannerPath,Path,MannerPath110715_1,VR,F,1711,4,8,Harvard,Nason,She liked the animations and stars.,0,Bilingual,NA,,,,,,_,1,Path-Agent
8,E1 - MannerPath,Path,MannerPath110715_2,VR,F,1738,4,9,Harvard,Annelot,She said that she didn't know what glorfin means so no answer there. ,1,,NA,,,,,,1,1,Path-Agent
101,Pilot - testing eyetracker + MPP demo,Path,no video file,VR,F,1166,,,WJH,Melissa,"Tried the eyetracker but got no eyes; did great on no-extend version of MPP, finished all trials happily & commenting on novel verbs",0,Pilot,NA,,,,,,,,
